day,event_slot,baseline_quality,mechanism,payment_usd,realized_n1_value_usd,absolute_error_usd,overpayment_usd,base_case_max_loading,n1_base_case_max_loading,n1_max_post_contingency_loading,binding_contingency_constraints,credible_line_contingencies,excluded_islanding_contingencies,load_multiplier,peak_dc_penetration,dc_power_scale,settlement_generator_segments,evaluation_generator_segments,checkpoint_schema_version,panel_checksum
72,67,Risk-Constrained Convex Verifier,N-1 signed linear,-50.72767593333656,-37.61970593297883,13.107970000357732,0.0,0.7773705395195095,0.7501236006432473,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,67,Risk-Constrained Convex Verifier,N-1 exact net value,-50.93445127560335,-37.61970593297883,13.31474534262452,0.0,0.7773705395195095,0.7501236006432473,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,68,Trace-Anchored Reference,Base-case exact net value,10.758305774899782,-28.475220108115536,39.23352588301532,39.23352588301532,0.7776236037166944,0.7501926901074812,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,68,Trace-Anchored Reference,N-1 signed linear,-28.562387511120793,-28.475220108115536,0.08716740300525672,0.0,0.7776236037166944,0.7501926901074812,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,68,Trace-Anchored Reference,N-1 exact net value,-28.769162853392118,-28.475220108115536,0.29394274527658126,0.0,0.7776236037166944,0.7501926901074812,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,68,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-28.475220108115536,28.475220108115536,28.475220108115536,0.7787005271317566,0.750121236264562,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,68,Risk-Constrained Convex Verifier,N-1 signed linear,-41.51377491122784,-28.475220108115536,13.038554803112305,0.0,0.7787005271317566,0.750121236264562,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,68,Risk-Constrained Convex Verifier,N-1 exact net value,-41.720550253498004,-28.475220108115536,13.245330145382468,0.0,0.7787005271317566,0.750121236264562,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,69,Trace-Anchored Reference,Base-case exact net value,10.758305774899782,-23.81861206343092,34.5769178383307,34.5769178383307,0.7790872035715836,0.750071240846475,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,69,Trace-Anchored Reference,N-1 signed linear,-23.928388071394625,-23.81861206343092,0.10977600796370623,0.0,0.7790872035715836,0.750071240846475,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,69,Trace-Anchored Reference,N-1 exact net value,-24.135163413664486,-23.81861206343092,0.31655135023356706,0.0,0.7790872035715836,0.750071240846475,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,69,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-23.81861206343092,23.81861206343092,23.81861206343092,0.780171308411669,0.7502917634002096,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,69,Risk-Constrained Convex Verifier,N-1 signed linear,-36.87977547150179,-23.81861206343092,13.061163408070868,0.0,0.780171308411669,0.7502917634002096,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,69,Risk-Constrained Convex Verifier,N-1 exact net value,-37.08655081377219,-23.81861206343092,13.267938750341273,0.0,0.780171308411669,0.7502917634002096,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,70,Trace-Anchored Reference,Base-case exact net value,10.32172375731534,-21.579977771754784,31.901701529070124,31.901701529070124,0.7798353256387229,0.750181393529001,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,70,Trace-Anchored Reference,N-1 signed linear,-21.718699977375522,-21.579977771754784,0.13872220562073778,0.0,0.7798353256387229,0.750181393529001,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,70,Trace-Anchored Reference,N-1 exact net value,-21.925475319647376,-21.579977771754784,0.3454975478925917,0.0,0.7798353256387229,0.750181393529001,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,70,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-21.579977771754784,21.579977771754784,21.579977771754784,0.7809173581249828,0.7503991037041232,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,70,Risk-Constrained Convex Verifier,N-1 signed linear,-33.867298833614925,-21.579977771754784,12.28732106186014,0.0,0.7809173581249828,0.7503991037041232,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,70,Risk-Constrained Convex Verifier,N-1 exact net value,-33.86729883362932,-21.579977771754784,12.287321061874536,0.0,0.7809173581249828,0.7503991037041232,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,71,Trace-Anchored Reference,Base-case exact net value,9.922907682019286,-21.560044380032195,31.48295206205148,31.48295206205148,0.7799393986594733,0.7502169732025273,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,71,Trace-Anchored Reference,N-1 signed linear,-21.705122320740685,-21.560044380032195,0.14507794070848945,0.0,0.7799393986594733,0.7502169732025273,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,71,Trace-Anchored Reference,N-1 exact net value,-21.911897663008858,-21.560044380032195,0.35185328297666274,0.0,0.7799393986594733,0.7502169732025273,1.000000000000002,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,71,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-21.560044380032195,21.560044380032195,21.560044380032195,0.7810109692553265,0.750430108699778,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
72,71,Risk-Constrained Convex Verifier,N-1 signed linear,-32.98265251014668,-21.560044380032195,11.422608130114483,0.0,0.7810109692553265,0.750430108699778,1.0000000000000022,4,37,1,0.9,0.06,0.5427766223050947,10,40,2,72382f0038f8df7169de02974a7c52b45a4f7d76a6dbb91b2c414b4d3a957a19
