event_day,dr_price,event_probability,baseline_inflation_mwh,actual_reduction_mwh,paid_response_mwh,false_response_mwh,false_response_ratio,spatial_migration_mwh,reference_migration_mwh,participant_baseline_inflation_mwh,incremental_reference_cost_usd,expected_payment_gain_usd,expected_profit_gain_usd,incentive_per_reference_mwh,critical_reference_incentive_usd_per_mwh,theoretical_margin_usd_per_mwh,theory_profitable,optimizer_manipulation,optimizer_strictly_profitable,boundary_indifference,theory_optimizer_agreement
60,150.0,0.2,4.919211676285039,11.80179222351593,40.72763032859133,37.15324223131724,0.9122367771354274,11.80179222351593,0.0,4.919211676285039,79.46563555812463,147.57635028855117,68.11071473042654,3.0,1.4999998384155333,1.5000001615844667,1,1,1,0,1
60,210.0,0.2,5.525990603199984,11.80179222351593,49.12529279490373,40.68362837203384,0.8281605270402453,11.80179222351593,21.51714415725116,27.043134760451142,896.2838261416182,1135.811659938948,239.52783379732978,4.2,1.4999998384155333,2.700000161584467,1,1,1,0,1
60,300.0,0.2,12.018001541221329,11.80179222351593,59.9330592784429,48.131267054926965,0.8030837676967898,11.80179222351593,40.557565368228694,47.08465178641346,1908.720717182383,2825.0791071848075,916.3583900024246,6.0,1.4999998384155333,4.500000161584467,1,1,1,0,1
60,0.0,0.35,0.0,0.0,32.95585982670488,32.95585982670488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,30.0,0.35,0.0,11.80179222351593,35.8084186523063,32.234030555032206,0.9001802304653327,11.80179222351593,0.0,0.0,0.0,0.0,0.0,1.05,1.4999998384155333,-0.44999983841553326,0,0,0,0,1
60,60.0,0.35,4.540714315376642,11.80179222351593,40.349132967682934,36.774744870408846,0.911413509179071,11.80179222351593,0.0,4.540714315376642,68.11071473034099,95.35500062290947,27.244285892568485,2.1,1.4999998384155333,0.6000001615844668,1,1,1,0,1
60,90.0,0.35,5.525990603199988,11.80179222351593,41.33440925550629,37.76002115823219,0.9135251195879147,11.80179222351593,0.0,5.525990603199988,97.66900336556137,174.0687040007996,76.39970063523825,3.1499999999999995,1.4999998384155333,1.6500001615844662,1,1,1,0,1
60,120.0,0.35,5.525990603199984,11.80179222351593,49.12529279490373,40.68362837203384,0.8281605270402453,11.80179222351593,21.51714415725116,27.043134760451142,896.2838261416182,1135.811659938948,239.52783379732978,4.2,1.4999998384155333,2.700000161584467,1,1,1,0,1
60,150.0,0.35,8.223488004392083,11.80179222351593,55.45238428004156,44.45837497229465,0.8017396465366436,11.80179222351593,32.908445385786095,39.22828964234991,1458.5168757745996,2059.48520622337,600.9683304487703,5.25,1.4999998384155333,3.7500001615844667,1,1,1,0,1
60,210.0,0.35,14.021218695865718,11.80179222351593,61.936276433087286,50.134484209571355,0.8094526680778756,11.80179222351593,43.64061057137736,50.1997824755114,2110.4348863642663,3689.6840119500876,1579.2491255858213,7.35,1.4999998384155333,5.850000161584466,1,1,1,0,1
60,300.0,0.35,25.456727345828103,11.80179222351593,73.68056332514146,61.87877110162553,0.8398248915194043,11.80179222351593,49.85601759403135,61.960172068625155,3151.2964500249363,6505.8180672056415,3354.521617180705,10.5,1.4999998384155333,9.000000161584467,1,1,1,0,1
60,0.0,0.5,0.0,0.0,32.95585982670488,32.95585982670488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,30.0,0.5,4.370689680115947,11.80179222351593,40.179108332422246,36.60472023514815,0.9110386405865117,11.80179222351593,0.0,4.370689680115947,65.56034520175308,65.56034520173921,-1.3869794202037156e-11,1.5,1.4999998384155333,1.6158446669578552e-07,0,1,0,1,1
60,60.0,0.5,4.919211676285039,11.80179222351593,40.72763032859133,37.15324223131724,0.9122367771354274,11.80179222351593,0.0,4.919211676285039,79.46563555812463,147.57635028855117,68.11071473042654,3.0,1.4999998384155333,1.5000001615844667,1,1,1,0,1
60,90.0,0.5,5.725803330447318,11.80179222351593,51.91843984586314,41.59028300129863,0.8010695838467601,11.80179222351593,26.908489879913066,32.63429321036038,1147.7246523811482,1468.5431944662173,320.8185420850691,4.5,1.4999998384155333,3.0000001615844667,1,1,1,0,1
60,120.0,0.5,12.018001541221329,11.80179222351593,59.9330592784429,48.131267054926965,0.8030837676967898,11.80179222351593,40.557565368228694,47.08465178641346,1908.720717182383,2825.0791071848075,916.3583900024246,6.0,1.4999998384155333,4.500000161584467,1,1,1,0,1
60,150.0,0.5,16.22747027966126,11.80179222351593,64.14252801688284,52.340735793366896,0.8160067495249078,11.80179222351593,45.27268635281185,52.40603405930694,2275.854924972169,3930.4525544480207,1654.5976294758516,7.5,1.4999998384155333,6.000000161584467,1,1,1,0,1
60,210.0,0.5,25.456727345828103,11.80179222351593,73.68056332514146,61.87877110162553,0.8398248915194043,11.80179222351593,49.85601759403135,61.960172068625155,3151.2964500249363,6505.8180672056415,3354.521617180705,10.5,1.4999998384155333,9.000000161584467,1,1,1,0,1
60,300.0,0.5,42.17570181014486,11.80179222351593,90.39953778945822,78.59774556594229,0.8694485335643809,11.80179222351593,59.43421262421496,78.6791465329419,5337.902307907585,11801.871979941285,6463.9696720337,15.0,1.4999998384155333,13.500000161584467,1,1,1,0,1
60,0.0,0.75,0.0,0.0,32.95585982670488,32.95585982670488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999998384155333,-1.4999998384155333,0,0,0,0,1
60,30.0,0.75,4.540714315376642,11.80179222351593,40.349132967682934,36.774744870408846,0.911413509179071,11.80179222351593,0.0,4.540714315376642,68.11071473034099,102.16607209597444,34.055357365633455,2.25,1.4999998384155333,0.7500001615844667,1,1,1,0,1
60,60.0,0.75,5.725803330447318,11.80179222351593,51.91843984586314,41.59028300129863,0.8010695838467601,11.80179222351593,26.908489879913066,32.63429321036038,1147.7246523811482,1468.5431944662173,320.8185420850691,4.5,1.4999998384155333,3.0000001615844667,1,1,1,0,1
60,90.0,0.75,13.575867085366324,11.80179222351593,61.4909248225879,49.68913259907196,0.8080726179096155,11.80179222351593,43.195258960877965,49.754430865012,2079.3279233044013,3358.42408338831,1279.0961600839087,6.75,1.4999998384155333,5.250000161584467,1,1,1,0,1
60,120.0,0.75,21.875292632608534,11.80179222351593,70.0991286119219,58.29733638840597,0.8316413847474164,11.80179222351593,48.78496493687085,58.37873735540559,2784.470798476599,5254.086361986503,2469.615563509904,9.0,1.4999998384155333,7.500000161584467,1,1,1,0,1
60,150.0,0.75,26.550248923258092,11.80179222351593,74.77408490257146,62.97229267905553,0.8421673466296066,11.80179222351593,50.94784554695882,63.05369364605514,3271.5673622149043,7093.540535181203,3821.973172966299,11.25,1.4999998384155333,9.750000161584467,1,1,1,0,1
