day,conversion_scenario,conversion_scale_factor,certified_minus_single_payment_usd,certified_minus_feasible_quantile_payment_usd,certified_minus_risk_verifier_payment_usd
69,q99,4.755718434549532,-280.0049080290537,-253.31585369971253,-276.10797177004133
70,q01,0.5366973300611017,-17.10926057312645,-13.81699139025659,-16.6339777715566
70,q10,0.6690593552942903,-21.3288015562066,-17.224582336972162,-20.73630297834825
70,q50,0.9240713988969669,-29.45827651145919,-23.789733705370963,-28.63994703836761
70,q90,1.4095608876115522,-44.88868490671666,-36.24199782306641,-43.64042073597557
70,q99,4.755718434549532,-152.5006514981451,-123.16003453502162,-148.26230242308156
71,q01,0.5366973300611017,-10.034095553115549,-6.908681734346828,-9.582900544030053
71,q10,0.6690593552942903,-12.451017775039873,-8.554804327563033,-11.888547598686273
71,q50,0.9240713988969669,-16.959567122223234,-11.578311509663763,-16.18271137901138
71,q90,1.4095608876115522,-25.530994346952866,-17.32252966904889,-24.345993412774988
71,q99,4.755718434549532,-84.61478892275045,-56.33181616965339,-80.5248904107466
72,q01,0.5366973300611017,-13.375180390683454,-9.318670480539367,-12.789569305088662
72,q10,0.6690593552942903,-16.67381048479365,-11.616871027104935,-15.943774105937337
72,q50,0.9240713988969669,-23.029035103843853,-16.04464264026683,-22.020745282447024
72,q90,1.4095608876115522,-35.10826281547634,-24.45440376071201,-33.57023675242999
72,q99,4.755718434549532,-117.58696285882797,-81.3884445448748,-112.35188281386945
73,q01,0.5366973300611017,-16.804938078343184,-11.836854088112887,-16.087729155271518
73,q10,0.6690593552942903,-20.949426066968954,-14.75609719169369,-20.055336767840345
73,q50,0.9240713988969669,-28.863910330077488,-20.309993502942234,-27.62903880059457
73,q90,1.4095608876115522,-43.7665883818172,-30.718606797488974,-41.882938902723254
73,q99,4.755718434549532,-150.54986566119987,-105.98457856265486,-144.10828990408118
74,q01,0.5366973300611017,-11.731666168310767,-10.822851657807405,-11.600466718948155
74,q10,0.6690593552942903,-14.62496748810372,-13.492018214052216,-14.461411207708807
74,q50,0.9240713988969669,-20.19927538358388,-18.6345023746253,-19.973379609718904
74,q90,1.4095608876115522,-30.658211701504115,-28.271336797632102,-30.313634596430347
74,q99,4.755718434549532,-104.84716194305838,-95.82553082363847,-103.54476962243098
75,q01,0.5366973300611017,-30.17347952243108,-22.65444343906165,-29.08800675472412
75,q10,0.6690593552942903,-37.61496028676265,-28.241555291800978,-36.261784726766564
75,q50,0.9240713988969669,-51.768639084792056,-38.82255979066028,-49.89970051785346
75,q90,1.4095608876115522,-79.25079972781532,-59.48011615609903,-76.39663885025038
75,q99,4.755718434549532,-269.558739645674,-202.8245108354913,-259.9055635820805
76,q01,0.5366973300611017,1.8189894035458565e-12,-9.735476141093386,-1.405445373033217
76,q10,0.6690593552942903,3.637978807091713e-12,-12.13647064295401,-1.7520608404684026
76,q50,0.9240713988969669,-1.8189894035458565e-12,-16.762287704332266,-2.4198590139985754
76,q90,1.4095608876115522,3.637978807091713e-12,-25.568873966996755,-3.6912067874163768
76,q99,4.755718434549532,-1.8189894035458565e-12,-86.13808622689612,-12.38502975690426
77,q01,0.5366973300611017,0.0,-0.8494976394140394,-0.12263629402877907
77,q10,0.6690593552942903,0.0,-1.05900348504656,-0.15288125208826475
77,q50,0.9240713988969669,0.0,-1.4626427746970876,-0.21115195741003845
77,q90,1.4095608876115522,0.0,-2.231087392399786,-0.3220871686426108
77,q99,4.755718434549532,0.0,-7.52746726614896,-1.0866901166973548
78,q01,0.5366973300611017,-1.0972354971054301,0.7440100510957546,-0.8314272366224031
78,q10,0.6690593552942903,-1.3678392516321765,0.9275002077192767,-1.036476501289144
78,q50,0.9240713988969669,-1.8891913261722948,1.28101700939078,-1.4315296287113597
78,q90,1.4095608876115522,-2.881736417517459,1.9540389140493062,-2.183627992917536
78,q99,4.755718434549532,-9.702476581320298,6.612949089030735,-7.347128094177606
79,q01,0.5366973300611017,-9.763767447218918,-6.030245684327376,-9.224783953299259
79,q10,0.6690593552942903,-12.171739242463445,-7.517444309838538,-11.499829902100828
79,q50,0.9240713988969669,-16.789546048574266,-10.347942248754407,-15.859614915252678
79,q90,1.4095608876115522,-25.654253521763167,-15.82835394239919,-24.235754307002935
79,q99,4.755718434549532,-93.66932566737341,-58.802434715162235,-88.5939981442225
80,q01,0.5366973300611017,-11.113051333582916,-5.211401859683974,-10.261069837260948
80,q10,0.6690593552942903,-13.853787869151347,-6.496654581880648,-12.791687950397318
80,q50,0.9240713988969669,-19.13416057179711,-8.972855158690436,-17.66724115734906
80,q90,1.4095608876115522,-29.0483238106317,-13.548462334032592,-26.81071291353328
80,q99,4.755718434549532,-98.35616910698991,-45.67688499454198,-90.72563304914911
81,q01,0.5366973300611017,-60.10402546198202,-60.10402546198566,-60.28108146530212
81,q10,0.6690593552942903,-75.18379842214563,-75.18379842214563,-75.40452054762864
81,q50,0.9240713988969669,-104.18621527744472,-104.15960863985856,-104.49025759220967
81,q90,1.4095608876115522,-158.82875485135264,-158.7881695938304,-159.29253519947088
81,q99,4.755718434549532,-551.4070524831477,-550.9962605995315,-552.9634838305974
82,q01,0.5366973300611017,0.08752981410179927,12.24279123839915,1.8423032727132522
82,q10,0.6690593552942903,0.10911669894267106,15.262147870262197,2.296658043294883
82,q50,0.9240713988969669,0.1507065402220178,21.079317135378005,3.172029497925905
82,q90,1.4095608876115522,0.34862491272724583,32.27272835559779,4.957293328503511
82,q99,4.755718434549532,2.2582440484802646,110.26712313751705,18.1196127350795
83,q01,0.5366973300611017,0.0,-0.3424755741543777,-0.05403584261875949
83,q10,0.6690593552942903,0.0,-0.4269380040059332,-0.06736233627270849
83,q50,0.9240713988969669,0.0,-0.5896654691077856,-0.09303749782520754
83,q90,1.4095608876115522,0.0,-0.8994644602371409,-0.14191762472182745
83,q99,4.755718434549532,0.0,-3.034703752324276,-0.47881597030391276
84,q01,0.5366973300611017,-7.84057192504406e-08,-7.84057192504406e-08,-9.903305908665061e-08
84,q10,0.6690593552942903,-9.774157661013305e-08,-9.774157661013305e-08,-1.2345662980806082e-07
84,q50,0.9240713988969669,-1.3499629858415574e-07,-1.3499629858415574e-07,-1.705247996142134e-07
84,q90,1.4095608876115522,-2.0591869542840868e-07,-2.0591869542840868e-07,-2.6011002773884684e-07
84,q99,4.755718434549532,-6.947520887479186e-07,-6.947520887479186e-07,-8.775878086453304e-07
85,q01,0.5366973300611017,-18.982394395083247,-10.19381042209534,-17.713645512581934
85,q10,0.6690593552942903,-23.663893678154636,-12.707840801480415,-22.082241857266126
85,q50,0.9240713988969669,-32.62766993301375,-17.495716350684233,-30.44317135432175
85,q90,1.4095608876115522,-49.606175429707946,-26.524182037999708,-46.27398296141291
85,q99,4.755718434549532,-167.35110427873406,-88.91481084102634,-155.980478843514
86,q01,0.5366973300611017,-12.757243715968798,-3.32045595145064,-11.394918002750273
86,q10,0.6690593552942903,-15.903476275827416,-4.139357499510879,-14.205169404654953
86,q50,0.9240713988969669,-21.96508793014982,-5.717074045584013,-19.61947121650519
86,q90,1.4095608876115522,-33.505126201558596,-8.720715710762306,-29.927167203104545
86,q99,4.755718434549532,-112.48722197619463,-28.135057578616397,-100.19489171887471
87,q01,0.5366973300611017,-6.85664420057401,-5.847987502471369,-7.075498407888517
87,q10,0.6690593552942903,-8.528178467768157,-7.270763604028616,-8.801007205027418
87,q50,0.9240713988969669,-11.660115893926559,-9.923437222701978,-12.03693333307092
87,q90,1.4095608876115522,-17.179162260150406,-14.530065737695622,-17.75395239500358
87,q99,4.755718434549532,-58.258357199485545,-49.37738014585375,-60.147536765605764
88,q01,0.5366973300611017,-5.630221897130468,-0.8109563424532098,-4.934496927879081
88,q10,0.6690593552942903,-7.018765366759908,-1.0109570092190552,-6.151458463365998
88,q50,0.9240713988969669,-9.693968524125012,-1.3962833795540064,-8.496087503324816
88,q90,1.4095608876115522,-14.78699469937601,-2.129864036680374,-12.959769836726991
88,q99,4.755718434549532,-49.20474229458887,-6.155750289321077,-42.965712997407536
89,q01,0.5366973300611017,1.1965312296524644e-08,-0.20051072436945105,-0.0289464145553211
89,q10,0.6690593552942903,1.4915713109076023e-08,-0.24996132543492422,-0.03608527260621486
89,q50,0.9240713988969669,2.0594598026946187e-08,-0.34523411089685396,-0.04983917806202953
89,q90,1.4095608876115522,3.141758497804403e-08,-0.5266135283218318,-0.07602373165718745
89,q99,4.755718434549532,1.0601252142805606e-07,-1.8989346623056917,-0.25649651977619214
90,q01,0.5366973300611017,0.0,0.0,-1.2500095181167126e-08
90,q10,0.6690593552942903,0.0,0.0,-1.5577825251966715e-08
90,q50,0.9240713988969669,0.0,0.0,-2.151500666514039e-08
90,q90,1.4095608876115522,0.0,0.0,-3.282366378698498e-08
90,q99,4.755718434549532,0.0,0.0,-1.1074007488787174e-07
91,q01,0.5366973300611017,-11.051710124227611,-6.770476715510085,-10.433657223713453
91,q10,0.6690593552942903,-13.777318493033818,-8.440233503293712,-13.006839394303825
91,q50,0.9240713988969669,-18.96229257950654,-11.590977084875703,-17.89814529085743
91,q90,1.4095608876115522,-28.803396575189254,-17.559332508417356,-27.180166596950585
91,q99,4.755718434549532,-105.600708183194,-67.68827820345723,-100.05875647266839
92,q01,0.5366973300611017,-1.4415127225220203e-07,-1.4415309035342716e-07,-1.5138175513129681e-07
