day,solver_success,global_lp_status,mean_absolute_target_deviation_mw,first_stage_optimal_target_deviation_mw,worst_case_fractional_cost_margin,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_violation_usd,certificate_schema_version,candidate_checksum,conversion_scale_q01,conversion_scale_q10,conversion_scale_q50,conversion_scale_q90,conversion_scale_q99,certified_cost_q01_usd,certified_cost_q10_usd,certified_cost_q50_usd,certified_cost_q90_usd,certified_cost_q99_usd,reference_cost_q01_usd,reference_cost_q10_usd,reference_cost_q50_usd,reference_cost_q90_usd,reference_cost_q99_usd,weight_rho_0.03,weight_rho_0.1,weight_rho_0.3,weight_rho_1,weight_rho_3,weight_rho_10,weight_feasible_quantile
71,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00020156565875675519,106734.75573904891,106769.54340076805,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106527.71614392744,106602.79898939171,106734.75573904891,106877.58812930988,107594.25181896976,106549.19273409664,106629.3922379133,106769.54340076805,106920.80205124916,107680.01430495299,0.0,0.0,0.0,0.9999999984702741,8.892150831005037e-10,0.0,0.0
72,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00025142914060424315,106538.28456830842,106583.5148947979,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106413.23476791823,106458.6529948363,106538.28456830842,106624.45925539786,107058.32967432619,106439.99677926271,106492.23207234575,106583.5148947979,106682.03221177892,107176.01897128593,6.143884623047935e-10,0.0,0.0,0.9999999983919594,0.0,0.0,0.0
73,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.000310690535130672,106618.29263401077,106673.65723194799,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106459.82264610473,106517.49986846981,106618.29263401077,106727.07359153865,107273.12330318894,106492.90898497404,106558.69467077214,106673.65723194799,106797.7309927725,107420.88918600895,0.0,0.0,0.0,0.9999999988776062,1.5429076037117042e-09,-4.205137475291845e-10,0.0
74,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00021912938153219804,106475.87714237047,106514.85704951949,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106376.46754935435,106412.5620293744,106475.87714237047,106544.22199357663,106887.616736856,106399.78245951189,106441.6653598903,106514.85704951949,106593.84944583102,106990.7098002257,-6.72526700121033e-09,0.0,0.0,1.0000000011267862,1.3157994939558295e-09,0.0,4.3881303762365853e-10
75,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.000558682448029082,106731.79871268921,106832.02380060969,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106526.10489295948,106600.76684083739,106731.79871268921,106873.56747854763,107584.69881255011,106585.65232960266,106675.2724479881,106832.02380060969,107001.19826606316,107850.2266031806,0.0,0.0,0.0,0.9999999985430366,-5.666933235660548e-10,1.1151376579413473e-09,0.0
76,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.277106316986786,1.2771063157096796,1.8923598539035185e-13,106541.36428347218,106541.36428347495,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106415.28642551294,106461.16792476218,106541.36428347218,106627.92084980864,107062.17646584116,106415.28642551453,106461.16792476422,106541.36428347495,106627.9208498122,107062.17646585105,0.0,5.051774968816892e-10,1.0,-5.051774968816892e-10,0.0,0.0,0.0
77,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.004402011840704446,0.004402011809272438,9.40864445159731e-14,106268.32015874788,106268.32015874788,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106255.11266068519,106259.91953092488,106268.32015874788,106277.38656677348,106322.83927820432,106255.11266068519,106259.91953092488,106268.32015874788,106277.3865667735,106322.83927820432,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.0000000000000003e-09,0.0,2.079114356139824e-05,106361.96588771889,106365.66275249972,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106309.96815881117,106328.890705348,106361.96588771889,106397.67137912495,106576.75283083013,106312.17816899554,106331.63383354919,106365.66275249972,106402.4163498253,106586.64874310223,0.0,-5.076623668647947e-09,6.370713608678897e-10,1.0000000012244104,0.0,0.0,0.0
79,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0001919697216165564,106805.251451664,106838.77446251351,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106569.3683687011,106655.02035648418,106805.251451664,106967.64309300855,107807.50594085401,106589.83033343681,106680.43680144355,106838.77446251351,107009.66095710942,107900.38491018965,0.0,3.0275036430387366e-12,0.0,1.0000000001180898,-6.417594405247528e-10,0.0,0.0
80,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.0000000053446528e-09,0.0,0.0002114450499445202,106547.24010912473,106584.71101302822,0.0,10,2a10fb47e12506e692f517d01e80fa2d6067dd0eab6012921faa43bb0a3b812d,0.5844748596130233,0.734154196797104,0.9957235602389071,1.2780232437772188,2.6930887095833507,106418.20299382968,106465.09930904496,106547.24010912473,106636.07868091765,107082.02870489028,106440.70935492346,106493.11397898503,106584.71101302822,106683.56744400774,107179.57022728329,4.3575636457631644e-15,0.0,-3.301496708680351e-15,1.0000000029853735,-2.9853741805001188e-09,0.0,-1.005295449881132e-15
