day,conversion_scenario,conversion_scale_factor,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_margin_usd,payment_cap_violation_usd
75,q90,1.2780232437772188,108696.0116597136,108696.01166037704,6.634509190917015e-07,0.0
76,q10,0.734154196797104,106971.32466958984,106971.32467138044,1.7905986169353127e-06,0.0
76,q50,0.9957235602389072,107339.61734603147,107339.61734845996,2.4284818209707737e-06,0.0
76,q90,1.2780232437772188,107737.44258587128,107737.4425889912,3.1199160730466247e-06,0.0
77,q10,0.734154196797104,106387.85854047864,106387.85854171314,1.2344971764832735e-06,0.0
77,q50,0.9957235602389072,106545.34227067362,106545.34227234796,1.67434336617589e-06,0.0
77,q90,1.2780232437772188,106715.30715727764,106715.3071594267,2.1490559447556734e-06,0.0
78,q10,0.734154196797104,106597.21610089325,106597.21610562938,4.736139089800417e-06,0.0
78,q50,0.9957235602389072,106829.92794024154,106829.9279466774,6.435860996134579e-06,0.0
78,q90,1.2780232437772188,107081.51048480958,107081.5104930828,8.273214916698635e-06,0.0
79,q10,0.734154196797104,108010.2010518861,108010.2010524606,5.744950613006949e-07,0.0
79,q50,0.9957235602389072,108754.8765265198,108754.8765273014,7.81597918830812e-07,0.0
79,q90,1.2780232437772188,109563.77057076713,109563.77057176968,1.0025541996583343e-06,0.0
80,q10,0.734154196797104,107037.10710540324,107037.10711010796,4.704721504822373e-06,0.0
80,q50,0.9957235602389072,107428.72938524115,107428.72939164372,6.402566214092076e-06,0.0
80,q90,1.2780232437772188,107852.36485430096,107852.36486253812,8.237155270762742e-06,0.0
81,q10,0.734154196797104,107960.82105192584,107960.8210534982,1.572363544255495e-06,0.0
81,q50,0.9957235602389072,108698.0683470894,108698.06834922692,2.1375162759795785e-06,0.0
81,q90,1.2780232437772188,109497.42540862312,109497.42541138228,2.759159542620182e-06,0.0
82,q10,0.734154196797104,107025.32699140377,107025.32699560716,4.203393473289907e-06,0.0
82,q50,0.9957235602389072,107413.18703654048,107413.18704227405,5.7335710152983665e-06,0.0
