job_index,region,requested_gpus,submit_slot,deadline_slot,runtime_slots,declared_job_energy_mwh,declared_job_energy_upper_mwh,runtime_energy_mwh,baseline_start_slot,counterfactual_start_slot,risk_aligned_start_slot,baseline_event_slots,counterfactual_event_slots,baseline_objective_usd,counterfactual_objective_usd,risk_aligned_objective_usd
90,1,1.0,6925,7023,2,5.85e-07,0.0005,0.0005,6925,6925,6927,0,0,0.000375,0.000375,0.002830349351842229
91,1,1.0,2460,3140,584,6.2933333333333355e-06,0.146,0.146,2460,2460,2460,52,52,63.8385,65.7885,65.7885
92,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
93,1,1.0,5859,6083,128,1.9314727484418893e-06,0.032,0.032,5859,5859,5859,8,8,3.048,3.348,3.6014540701373994
94,0,1.0,8271,8369,2,5.85e-07,0.0005,0.0005,8271,8271,8271,0,0,0.000375,0.000375,0.004302502274097207
95,2,2.0,5233,5334,5,2.359747215134718e-06,0.0025,0.0025,5233,5233,5233,0,0,0.0075,0.0075,0.0075
96,3,1.0,11965,12073,12,1.4016181076347722e-06,0.003,0.003,11965,11976,11976,8,0,0.02475,0.07425,0.07425
97,1,1.0,2333,2557,128,1.0373055555555563e-05,0.032,0.032,2333,2333,2333,8,8,3.048,3.348,3.348
98,0,1.0,4341,4565,128,1.0373055555555563e-05,0.032,0.032,4341,4341,4341,8,8,3.048,3.348,3.348
99,3,1.0,791,889,2,5.85e-07,0.0005,0.0005,791,791,791,0,0,0.000375,0.000375,0.000375
100,3,1.0,11556,11780,128,1.9314727484418893e-06,0.032,0.032,11556,11556,11556,12,12,3.048,3.498,3.498
101,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
102,2,1.0,2364,2588,128,1.0373055555555563e-05,0.032,0.032,2364,2364,2364,16,16,3.048,3.648,3.648
103,3,1.0,11253,11477,128,1.9314727484418893e-06,0.032,0.032,11253,11253,11253,8,8,3.048,3.348,3.348
104,1,1.0,10712,10936,128,1.0373055555555563e-05,0.032,0.032,10712,10712,10712,16,16,3.048,3.648,3.685468030078961
105,0,2.0,5108,5332,128,4.809673886552115e-06,0.064,0.064,5108,5108,5108,8,8,6.096,6.696,6.696
106,2,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
107,0,1.0,975,1072,1,3.770217498256928e-07,0.00025,0.00025,975,975,975,0,0,0.0,0.0,0.0
108,1,1.0,8271,8369,2,5.85e-07,0.0005,0.0005,8271,8271,8271,0,0,0.000375,0.000375,0.004444355079521939
109,0,8.0,867,1030,67,5.0106666666666605e-05,0.134,0.134,867,867,867,6,6,6.633,8.433,8.433
110,3,1.0,7824,7944,24,1.8615120156467018e-06,0.006,0.006,7824,7848,7848,8,0,0.10350000000000001,0.3195,0.4374212601798304
111,1,1.0,10296,10397,5,9.476292045471001e-07,0.00125,0.00125,10296,10296,10296,0,0,0.00375,0.00375,0.00425503849957125
112,3,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
113,3,1.0,11156,11380,128,1.0373055555555563e-05,0.032,0.032,11156,11156,11156,8,8,3.048,3.348,3.348
114,0,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
115,2,1.0,10478,10576,2,5.85e-07,0.0005,0.0005,10478,10478,10478,0,0,0.000375,0.000375,0.001241826454808444
116,3,1.0,5776,5874,2,5.85e-07,0.0005,0.0005,5776,5776,5776,0,0,0.000375,0.000375,0.000375
117,2,1.0,4236,4356,24,1.8615120156467018e-06,0.006,0.006,4236,4236,4236,0,0,0.10350000000000001,0.10350000000000001,0.10350000000000001
118,3,1.0,1973,2197,128,1.9314727484418893e-06,0.032,0.032,1973,1973,1973,16,16,3.048,3.648,3.648
119,3,1.0,6629,6727,2,5.85e-07,0.0005,0.0005,6629,6629,6630,0,0,0.000375,0.000375,0.006511219625445458
120,1,1.0,3344,3442,2,5.85e-07,0.0005,0.0005,3344,3344,3344,0,0,0.000375,0.000375,0.000375
