day,risk_profile_source,raw_risk_profile_total_energy_mwh,upper_contract_profile_total_energy_mwh,central_contract_profile_total_energy_mwh,upper_capacity_realization_energy_mwh,central_energy_realization_energy_mwh,upper_capacity_realization_nrmse,central_energy_realization_nrmse,upper_capacity_realization_rmse_mw,central_energy_realization_rmse_mw,upper_capacity_realization_nrmse_flexible_target,central_energy_realization_nrmse_flexible_target,upper_capacity_profile_max_mw,central_profile_max_mw,risk_price_max_usd_per_mwh,same_declaration_digest
77,Exp2 validation-fitted Risk-Constrained Convex Verifier,650.3325462951282,578.8408432829438,576.0007896080061,584.49425,576.0024227049038,0.011971605558790926,4.184619657166813e-06,0.07218389851147206,2.5107752361846545e-05,1.405245530530559,1.7585529463024647,6.128999999999999,6.000086583696004,10.210425880711067,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
78,Exp2 validation-fitted Risk-Constrained Convex Verifier,983.0825213229374,591.5578909097572,576.0043242917674,585.5642499999999,576.0022854405019,0.025871457619120918,8.01874533899219e-06,0.1594215094159202,4.8112833235978705e-05,0.7401211940248817,0.8036234279774489,6.154999999999999,6.000106258078864,56.22667682999461,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
79,Exp2 validation-fitted Risk-Constrained Convex Verifier,1173.0776693596358,598.8191306626505,576.0063425421502,582.7064999999999,576.0016325534646,0.05058907871831976,1.5096773774536306e-05,0.3155594597825899,9.05816400630928e-05,0.8836611264376698,0.9125999886676326,6.084999999999999,6.000107419126079,149.14173047380774,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
80,Exp2 validation-fitted Risk-Constrained Convex Verifier,1335.2486818931716,605.0169868455253,576.0080652267109,586.58575,576.0033251356055,0.05323448596362542,1.5444829578448626e-05,0.33549758639565685,9.267027503373406e-05,0.8152779068549132,0.810200409680389,6.135999999999998,6.000110028961666,149.76328070515524,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
81,Exp2 validation-fitted Risk-Constrained Convex Verifier,1430.848890850149,608.6706382405032,576.0090807534773,590.5842499999999,576.0040661292171,0.06219948341601007,1.90556330437003e-05,0.39436457571929634,0.00011433560075705623,0.8190064991699543,0.8542926349159264,6.191,6.00012235696409,148.54584778931456,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
82,Exp2 validation-fitted Risk-Constrained Convex Verifier,1440.1209191394425,609.0249968707096,576.0091792469117,589.4159999999999,576.0033278771709,0.05877065512684987,1.774768536739046e-05,0.372841646403326,0.00010648780918753128,0.8084422570286719,0.8307306116485769,6.17,6.000089697975213,150.0,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
83,Exp2 validation-fitted Risk-Constrained Convex Verifier,1004.5454237402596,592.3781607000943,576.0045522844896,588.183,576.003079746811,0.027711692427357444,8.69031714136683e-06,0.17099793114588266,5.214231493982527e-05,0.718387984403807,0.7881234418628223,6.177999999999998,6.000102782091299,132.36888270344593,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
84,Exp2 validation-fitted Risk-Constrained Convex Verifier,800.5030758260166,584.5800646789139,576.0023848157356,584.5014999999999,576.0021328750522,0.012240829497469487,4.606771802910686e-06,0.07453900936827365,2.7640745258108765e-05,0.6402611564441835,0.8541989231532474,6.130999999999999,6.000099578981045,16.71418604157007,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
85,Exp2 validation-fitted Risk-Constrained Convex Verifier,1035.1210595310104,593.546701183196,576.0048770785136,586.9807500000001,576.0024549186097,0.029931947420213368,9.805062339994632e-06,0.1850625901172554,5.8830872165580944e-05,0.7404104657569682,0.8468274603924014,6.220999999999999,6.000136567178306,68.18642704142775,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
86,Exp2 validation-fitted Risk-Constrained Convex Verifier,1343.8154504553972,605.3443918402352,576.0081562284238,589.2387499999999,576.0028793454867,0.05054312651904738,1.603847342134434e-05,0.31870831442059167,9.62322031681993e-05,0.7827558036458846,0.8503330608718433,6.231,6.000147736112458,141.88951065493802,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
87,Exp2 validation-fitted Risk-Constrained Convex Verifier,1421.8184125219393,608.3255111733015,576.0089848259416,588.3405,576.0027521350341,0.06223125332450477,1.900196218380779e-05,0.39434228114150605,0.00011401355153329227,0.8318047039534546,0.8652472645013844,6.145999999999998,6.000062395821975,148.63397572317314,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
88,Exp2 validation-fitted Risk-Constrained Convex Verifier,1446.4052566393848,609.2651718527906,576.0092460031773,590.2337499999999,576.0047165244118,0.056671761869737124,1.9218718475252798e-05,0.35966802848714385,0.00011531416185497601,0.7865472354267282,0.9072800354380255,6.524,6.0004803802912,149.54983667594928,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
89,Exp2 validation-fitted Risk-Constrained Convex Verifier,1007.8263336469568,592.503550604449,576.00458713642,588.2852499999999,576.0027350972305,0.028774002096599822,8.853156146647905e-06,0.1775906084097422,5.311935990733527e-05,0.7283253436477214,0.7837796684490821,6.154,6.000073609303254,132.12130110009448,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
90,Exp2 validation-fitted Risk-Constrained Convex Verifier,802.3556513024052,584.6508664590298,576.0024044949812,588.4949999999999,576.0029968181248,0.014237333067925196,4.219125938387645e-06,0.08670696993987774,2.531486130602529e-05,0.7376455088009991,0.7748274145410984,6.158999999999999,6.0000962861626075,14.818260706034694,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
91,Exp2 validation-fitted Risk-Constrained Convex Verifier,1068.7672450978134,594.8325920214385,576.0052344898875,590.6365,576.0037052176908,0.032969296328631596,1.0027237771875684e-05,0.2042834582529461,6.0163973375782394e-05,0.7270866065016037,0.7704158105945115,6.202,6.00013429108351,96.41529001688114,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
92,Exp2 validation-fitted Risk-Constrained Convex Verifier,631.4337853224379,578.1185699203165,576.0005888532397,593.0764999999999,576.0049568387789,0.026533075027098427,7.864061458690347e-06,0.1597839936484855,4.718441698941362e-05,4.70850483830704,5.002465194498314,6.209999999999998,6.000095741029357,8.729476310985573,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
93,Exp2 validation-fitted Risk-Constrained Convex Verifier,627.021486014522,577.949940544949,576.000541982965,586.2482499999999,576.0031267981118,0.0148861545046365,4.764915618982518e-06,0.08961929282184988,2.858952061496902e-05,2.795679196154583,3.208694932454362,6.130999999999999,6.000079002083809,6.411544469396094,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
94,Exp2 validation-fitted Risk-Constrained Convex Verifier,593.7750997359344,576.6793292468146,576.0001888185157,584.03325,576.0021667940129,0.013174957659286174,3.604430911253598e-06,0.07914297651887847,2.1626592556930907e-05,4.918455630569803,4.83548688271075,6.105999999999998,6.000044713552969,5.8281462640693915,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
95,Exp2 validation-fitted Risk-Constrained Convex Verifier,644.2543364767141,578.6085460942209,576.000725041361,586.5447499999999,576.0031788973544,0.015270772909696544,4.868918396211845e-06,0.09203958032306804,2.9213547149846284e-05,2.059392458542759,2.3517140521117104,6.137999999999999,6.00007187921629,9.09591052074851,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
96,Exp2 validation-fitted Risk-Constrained Convex Verifier,617.1698492189181,577.57343042103,576.0004373325572,586.5274999999999,576.0032133248058,0.016397320184558282,5.321792228638065e-06,0.09865267154903463,3.193077761550552e-05,3.3238619155265936,3.8706094359206036,6.159999999999999,6.000076175435178,7.531963297210221,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
97,Exp2 validation-fitted Risk-Constrained Convex Verifier,615.5493195987103,577.5114969757783,576.0004201182517,581.3367499999999,576.001611988382,0.01121818163228052,3.4946716863943076e-06,0.06748571737296358,2.096804541185917e-05,1.192385051023227,1.332902355455209,6.1,6.000054712957044,23.962246065236375,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
98,Exp2 validation-fitted Risk-Constrained Convex Verifier,594.8702320094972,576.7211830419333,576.0002004517135,579.7884999999999,576.0013896263135,0.0058691678216787795,2.5320133695992866e-06,0.03525909801656492,1.5192085504537578e-05,2.1249238963529473,3.2940130201781934,6.054999999999999,6.000048345084169,6.140063464321766,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
99,Exp2 validation-fitted Risk-Constrained Convex Verifier,591.8301557833463,576.6049973257545,576.000168158073,579.05675,576.0012650814034,0.005314998210414451,3.5571515277710846e-06,0.03192348467606682,2.1342915397498867e-05,2.09128483157971,5.03028245513846,6.126,6.000118305081317,4.14229193910671,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
100,Exp2 validation-fitted Risk-Constrained Convex Verifier,601.090938596599,576.9589261760508,576.0002665320507,580.3844999999999,576.0018781199954,0.007250262724337676,3.388907672700017e-06,0.04357399787425119,2.033345544508043e-05,1.6266100845847578,2.7308822466052867,6.069999999999998,6.000064258373349,6.932833210274146,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
101,Exp2 validation-fitted Risk-Constrained Convex Verifier,598.6317637033858,576.8649413628677,576.0002404091168,580.8722499999999,576.0021087407935,0.007606216146813228,4.392319968781087e-06,0.045705827411715735,2.63539308122049e-05,2.176033878001531,4.5141419499836815,6.149,6.000130729157371,5.047460078595831,1060e9e1e9334c11f84a9111a4c87ecfdde55ff49812454ac4a2167ad3622832
