day,variant,solve_seconds,l1_adjustment_from_ex_post_statistical_mw,release_violation_mwh,deadline_violation_mwh,capacity_violation_mw,conservation_violation_mwh,certified_feasible,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
110,Release + conservation,4.052653371996712,4.756332553562632,9.947598300641403e-14,2.842170943040401e-14,124.0776465485142,1.4210854715202004e-14,0.0,0.8200363111077659,0.8789131460091903,0.11873927069937103,0.1107851372687518,7.4020426505267904,-0.8200363111077659,1.3152640278058207,1.1474459848501253,1.1474459848501253,1.1474459848501253,0.0,5.528919220659459,1.1474459848501253,6.676365205509585,0.0,0.0,5.528919220659459,1.0,0.17186686910164983,0.2933214917721883,0.11607471664745783
111,Release + conservation,4.343644438005867,5.793771325195915,4.263256414560601e-14,2.842170943040401e-14,80.95059853341465,1.4210854715202004e-14,0.0,1.9615869685280916,2.3093836980175855,0.26135346362638595,0.22199323086470296,8.836246767017908,-1.4822305209224105,5.900276299891042,3.6445994223302014,3.6445994223302014,3.6445994223302014,0.13350550049909637,13.286089193056991,3.5110939218311055,16.797183114888096,0.13350550049909637,0.036631049130150674,13.286089193056991,0.9633689508698494,0.2090287340333312,0.3435213064651741,0.8784683772044368
112,Release + conservation,5.091825625990168,6.599959326348145,4.263256414560601e-14,2.842170943040401e-14,71.43023962869961,2.842170943040401e-14,0.0,2.0771205799893164,2.2003951187490607,0.24423328609337874,0.23055040457978296,9.009398980562274,-2.0138063848463084,3.687624677849196,3.512847924640955,3.512847924640955,3.512847924640955,0.21437700377627555,14.63869237494215,3.2984709208646796,17.937163295806826,0.21437700377627555,0.06102655405960587,14.63869237494215,0.9389734459403941,0.18389033240477684,0.30754957533265315,1.722328925249798
113,Release + conservation,5.07083544699708,4.005662726448836,4.263256414560601e-14,5.684341886080802e-14,134.17438949282032,1.4210854715202004e-14,0.0,1.349737289572571,2.7786027419336006,0.32895446571066983,0.15979330266986502,8.446770089990224,-0.18941727717778153,14.667926637663882,7.513952823257652,7.513952823257652,7.513952823257652,3.6669816594159705,4.5505908481542585,3.8469711638416824,8.39756201199594,3.6669816594159705,0.4880229814679834,4.5505908481542585,0.5119770185320167,0.4581057166766108,0.4835455585056331,5.995204332975845e-15
114,Release + conservation,5.09276123798918,5.814092818888405,1.4210854715202004e-14,1.4210854715202004e-14,68.94329073163561,1.4210854715202004e-14,0.0,6.898172981662914,9.08716409230153,0.6805199776155741,0.51659070700028,13.353265725043666,-2.7036592529978085,32.05468772710916,8.35325230504002,8.35325230504002,8.35325230504002,1.224443881337228,36.28165182079468,7.128808423702791,43.41046024449747,1.224443881337228,0.14658289210280975,36.28165182079468,0.8534171078971903,0.16421867871364965,0.2754365200092854,-1.6369051715776188
61,+ Deadline constraints,3.637823783996282,11.130165240048456,1.1368683772161603e-13,2.842170943040401e-14,203.64987934833096,2.842170943040401e-14,0.0,3.21531516891341,3.648399861827068,0.2756804353176454,0.2429556844149152,13.234163162950962,-2.8056531439504298,6.166820907299316,12.951256412329347,12.951256412329347,12.951256412329347,1.6386480998519226,20.806718353921,11.312608312477423,32.11932666639842,1.6386480998519226,0.12652425739111775,20.806718353921,0.8734757426088822,0.35220564957583894,0.5019952057295083,4.040074218421379
62,+ Deadline constraints,3.528832780997618,5.363217561800592,2.842170943040401e-14,7.105427357601002e-15,31.37495710957674,2.842170943040401e-14,0.0,1.082424325402907,1.5009025909074247,0.08485869646657199,0.06119858665968863,17.687080445534168,0.21512487420271692,3.9942365981456476,28.37426936537497,28.37426936537497,28.37426936537497,5.190196798422495,5.81756864903582e-14,23.18407256695248,23.184072566952537,5.190196798422495,0.1829191346423205,5.81756864903582e-14,0.8170808653576797,0.9999999999999976,0.899333519971707,1.7209989936218144
63,+ Deadline constraints,3.653386187987053,8.996735027665427,2.842170943040401e-14,3.979039320256561e-13,4.8245844909320965,3.979039320256561e-13,0.0,7.714332111782847,10.35309578074466,0.4751246065520841,0.3540263788769183,21.790274883626203,-3.4501240087351905,42.87018416628002,27.75600611428666,27.75600611428666,27.75600611428666,2.974495316480101,32.84899617238762,24.781510797806558,57.630506970194176,2.974495316480101,0.10716582581198739,32.84899617238762,0.8928341741880126,0.43000681584535194,0.5804549196964608,3.4034092132160305
64,+ Deadline constraints,3.5853396140009863,7.170844783020079,2.842170943040401e-14,2.842170943040401e-14,86.11090984335783,5.684341886080802e-14,0.0,2.9147961194575185,3.669389629015048,0.17854135644726332,0.14182512775969655,20.552042966576735,-1.7145089793639223,14.058387710386555,32.062624283378085,32.062624283378085,32.062624283378085,4.220615353783038,11.782871072122276,27.842008929595046,39.62488000171732,4.220615353783038,0.13163661578291613,11.782871072122276,0.8683633842170838,0.702639577164357,0.776760446810078,1.432778875053959
65,+ Deadline constraints,3.7945549319993006,7.7424337079422285,4.263256414560601e-14,0.0,61.26811953966822,2.842170943040401e-14,0.0,3.4045713608731987,5.896896447541503,0.5530904200093176,0.31932658487196514,10.661722268561732,-0.939468713719912,29.130852087802378,10.117056088379115,10.117056088379115,10.117056088379115,1.9791626387761454,16.467822281534968,8.13789344960297,24.60571573113794,1.9791626387761454,0.1956263384809635,16.467822281534968,0.8043736615190366,0.33073183233213826,0.4687352433672247,0.189629550230499
