split,ablation,day,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
test,total-budget-only ensemble,108,0.6484087056104042,3.4112035855458984,0.5129057662813039,0.09749419982547033,6.650741344317465,0.601442482922849,19.288203124125637,9.85072856027971,9.85072856027971,9.85072856027971,4.832662696490204,0.18786489075022006,5.0180658637895075,5.205930754539728,4.832662696490204,0.49058936777291334,0.18786489075022006,0.5094106322270867,0.9639132943544444,0.6665576684531211,8.893211182383908
test,total-budget-only ensemble,109,1.2585134765780817,5.831998872528956,0.7675378394579131,0.16563047007629744,7.598320985253192,1.1708960749049395,32.61041368266416,21.803266874572486,21.803266874572486,21.803266874572486,9.367168599239514,0.3504696066925681,12.436098275332968,12.786567882025537,9.367168599239514,0.4296222512491346,0.3504696066925681,0.5703777487508652,0.9725907991944238,0.7190608664564827,19.651660285903436
test,total-budget-only ensemble,110,6.7355088373324445,14.2484961589369,1.0179682567348325,0.4812110774975247,13.996994567040264,-1.156229130468836,58.36269568368371,32.96380101162477,32.96380101162477,32.96380101162477,0.5547963465077852,31.566951871205124,32.40900466511698,63.975956536322116,0.5547963465077852,0.01683047250261385,31.566951871205124,0.9831695274973862,0.5065810098004067,0.6686421646781472,15.201585281500225
test,total-budget-only ensemble,111,7.605061888403817,25.706853339373136,1.4749801817283623,0.4363550613576123,17.42860931816059,-6.587444352895595,114.02544304323993,37.823428227738006,37.823428227738006,37.823428227738006,3.164578647650959,56.77002496519765,34.65884958008705,91.4288745452847,3.164578647650959,0.08366715540951941,56.77002496519765,0.9163328445904807,0.3790799105037712,0.536297595269165,33.25266292001404
test,total-budget-only ensemble,112,0.464104408711672,1.61087728664357,0.20513850229158212,0.059101760326141055,7.852632580664369,0.27462781801408254,8.788090176450645,16.324017565761025,16.324017565761025,16.324017565761025,2.2608632832364286,0.757906362790356,14.063154282524597,14.821060645314953,2.2608632832364286,0.138499194461693,0.757906362790356,0.861500805538307,0.9488628795922284,0.9030739423555779,11.59103576561868
test,total-budget-only ensemble,113,4.332831173007072,11.995240220157074,0.7777746489226658,0.280941955523641,15.422513753530376,-2.2359318290993504,62.087588911080886,52.6675094507322,52.6675094507322,52.6675094507322,3.562451430914886,26.275052008425682,49.105058019817314,75.380110028243,3.562451430914886,0.06764040046828833,26.275052008425682,0.9323595995317118,0.6514325596157781,0.7669811937094252,42.891381091508535
test,total-budget-only ensemble,114,1.5450897255767897,4.195413262003116,0.36879835478789263,0.13582131561464594,11.37590015664801,-0.3260075360946164,15.895951128769141,39.962155981745596,39.962155981745596,39.962155981745596,4.439343775247132,7.484389046685619,35.52281220649846,43.00720125318408,4.439343775247132,0.11108869544663681,7.484389046685619,0.888911304553363,0.8259735851532188,0.8562875112052463,30.252681418512353
test,CVaR-only ensemble,61,2.0785575595307457,5.309379389870644,0.4181242370073951,0.16369056152077327,12.698090471556998,-0.3021774585757717,20.651820323263863,50.32607340344633,50.32607340344633,50.32607340344633,6.264289703416392,9.522940072426064,44.061783700029935,53.584723772456,6.264289703416392,0.12447404058722795,9.522940072426064,0.875525959412772,0.8222825573783938,0.8480693998611376,20.11909934846499
test,CVaR-only ensemble,62,12.661689262193503,17.042820584387915,0.8344756900704523,0.6199602836988986,20.423387747759364,0.31846247482105694,46.011990423074735,69.9649404524512,69.9649404524512,69.9649404524512,3.95074561986603,49.37290714948978,66.01419483258516,115.38710198207494,3.95074561986603,0.056467504929143646,49.37290714948978,0.9435324950708562,0.5721106926044497,0.7123114907773845,24.438158216370027
test,CVaR-only ensemble,63,8.209052547011577,14.280921476334404,0.6769938296958432,0.38915401440903835,21.094610984490764,-0.6600017552531099,48.62390464700236,85.71402385485315,85.71402385485315,85.71402385485315,0.4333531879857624,35.47621720905873,85.2806706668674,120.75688787592611,0.4333531879857624,0.005055802638779346,35.47621720905873,0.9949441973612208,0.7062178577713147,0.8260792762717707,44.7245262259583
