day,baseline,citation_key,implementation,implementation_description,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
71,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,39.206603764362924,52.713686811837775,2.1319466879374787,1.5856676718339469,24.72561209437881,10.77438790562119,104.04615235106289,236.0,236.0,236.0,199.92396667993643,29.144996077932404,36.076033320063544,65.22102939799595,199.92396667993643,0.8471354520336289,29.144996077932404,0.15286454796637094,0.5531349881020439,0.23953197020913947,140.8300540637507
72,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,23.05134366012743,39.42522233326216,2.6400830759827554,1.543617478205589,14.933326413823686,9.64788054839877,113.42729623015634,148.64965569777965,148.64965569777965,148.64965569777965,130.7968968341048,4.5602157598784085,17.852758863674865,22.412974623553275,130.7968968341048,0.8799004358276391,4.5602157598784085,0.12009956417236106,0.7965367901194969,0.2087277487799564,86.73196427567518
73,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,35.009621651162846,54.777955006815596,3.295589562870864,2.10627329368675,16.62159500198722,18.878404998012776,110.3969318525126,236.0,236.0,236.0,215.55210659670246,11.870603511110533,20.447893403297527,32.31849691440806,215.55210659670246,0.9133563838843325,11.870603511110533,0.0866436161156675,0.6326993937079283,0.15241508608942664,159.24623933577783
74,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,22.086066688046202,41.86038039747213,3.0043282061816323,1.5851215990983383,13.933357983771957,10.341169300476333,107.67041226191287,146.19621827398632,146.19621827398632,146.19621827398632,129.70894395409013,9.840873845600312,16.487274319896162,26.328148165496472,129.70894395409013,0.8872250287008288,9.840873845600312,0.1127749712991711,0.626222331181767,0.1911298057214368,96.55734507758362
75,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,35.71898384023029,53.27265448334248,2.755280080587195,1.8473981750726443,19.334751068932786,16.165248931067214,109.96805952475285,236.0,236.0,236.0,207.53693108519002,6.245899930485029,28.463068914810002,34.70896884529503,207.53693108519002,0.8793937757847035,6.245899930485029,0.12060622421529661,0.8200493953501101,0.21028537795566055,128.91954269692485
76,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,19.48364152011429,33.36399748817586,2.2773360365551873,1.3299005604110865,14.650449890848748,6.396426704908322,114.73921664994351,120.37501276605656,120.37501276605656,120.37501276605656,103.52027290009045,6.707101841086214,16.854739865966103,23.561841707052317,103.52027290009045,0.8599814074477189,6.707101841086214,0.14001859255228105,0.7153405101147631,0.23419630681334644,66.23154232597071
77,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,12.348548523853456,30.4980116506614,3.0419835313086323,1.2316895171857243,10.02569913241491,5.5991800424665,114.19010167338537,76.9990333990513,76.9990333990513,76.9990333990513,71.79091426527982,22.051701049190882,5.208119133771474,27.259820182962358,71.79091426527982,0.9323612400849224,22.051701049190882,0.06763875991507762,0.19105478681868185,0.09990746981837059,70.55801176752544
78,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,8.499342882646452,21.694406993792327,2.3132376069266822,0.9062704316337497,9.378373812024892,3.6429689574230006,110.38639241426043,56.170742155583135,56.170742155583135,56.170742155583135,48.569247360277814,4.239231381381543,7.601494795305317,11.84072617668686,48.569247360277814,0.8646716332454624,4.239231381381543,0.13532836675453755,0.6419787673387682,0.22353567660584003,32.660328623251594
79,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,25.59469751687129,41.799770384862995,2.6023920377115286,1.5934881080031364,16.062057437595204,10.137318474063942,114.30023716180497,161.59500729327317,161.59500729327317,161.59500729327317,142.92806396374093,4.059463001343181,18.666943329532266,22.72640633087545,142.92806396374093,0.8844831678762559,4.059463001343181,0.11551683212374426,0.821376818567742,0.20254774486046628,37.75075624276676
80,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,31.726741758601378,51.83562906369606,3.3025415846264394,2.0213680415401547,15.695677930292995,16.959761812235442,115.57625119134786,213.2435179402275,213.2435179402275,213.2435179402275,194.74601428334728,9.044779832926464,18.49750365688022,27.542283489806678,194.74601428334728,0.9132564317286067,9.044779832926464,0.08674356827139337,0.6716038509924601,0.1536428107224179,151.37019561152977
81,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,37.123481257396584,52.865236979823365,2.44559645558482,1.7173677707471413,21.61650048972679,13.883499510273214,107.21397964653646,236.0,236.0,236.0,204.0279230706792,10.573920100604754,31.972076929320814,42.545997029925566,204.0279230706792,0.8645250977571153,10.573920100604754,0.1354749022428848,0.7514708588644102,0.2295640739427743,81.54767857027117
82,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,30.66370106788991,50.87488911215665,3.2872303533170424,1.981304542466745,15.47652085313108,17.000721459611242,110.86072744078155,211.81793850193858,211.81793850193858,211.81793850193858,190.6576901100046,7.589717600936348,21.160248391933955,28.7499659928703,190.6576901100046,0.9001017168725759,7.589717600936348,0.09989828312742405,0.7360095103132115,0.1759191313269353,150.43365854387912
83,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,11.659085923606744,30.988414650768323,3.542628979042472,1.3328792752904297,8.747293276854553,7.555458866353838,115.41034229468775,82.42201714566713,82.42201714566713,82.42201714566713,76.85817915984232,4.542280068073982,5.563837985824803,10.106118053898786,76.85817915984232,0.9324957313773132,4.542280068073982,0.0675042686226867,0.550541558702489,0.12026262009549081,67.58179889594712
84,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,15.266098244330843,35.7380143918506,3.5070669938793624,1.4981030756487979,10.190285630192307,8.56996822728974,114.6649957791253,102.08203085985636,102.08203085985636,102.08203085985636,95.34426588648233,15.938249220253908,6.737764973374035,22.676014193627942,95.34426588648233,0.9339965622096215,15.938249220253908,0.06600343779037858,0.2971318026105036,0.10801331441969177,91.23576001194587
85,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,25.773559322723933,42.68111508281719,2.684827649001724,1.6212689042581578,15.897152690112879,10.871356682364114,111.8072047354699,166.14807497981593,166.14807497981593,166.14807497981593,146.5796640203522,8.050585746841856,19.568410959463737,27.618996706305595,146.5796640203522,0.8822230654081249,8.050585746841856,0.11777693459187508,0.7085127373579122,0.20197870349366812,92.74837333650981
86,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,20.824120072451482,39.40057808049705,2.9696877888309983,1.5695489280884558,13.267582615479883,9.801906673391557,113.13585828537065,136.5559143109715,136.5559143109715,136.5559143109715,122.50410698337215,3.9809713732820953,14.051807327599349,18.032778700881444,122.50410698337215,0.8970985079738113,3.9809713732820953,0.10290149202618876,0.7792369418315157,0.18179605576356014,83.07211786737003
87,Incentive-compatible spatial DR structural analogue,chen2021incentive,strategic_reference,structural analogue: exact workload LP with event reward; the cited paper's mechanism is not reimplemented,36.57566142265762,53.10055964685915,2.5784782144927036,1.7760555968935479,20.593759275684356,14.906240724315644,108.59597521334499,236.0,236.0,236.0,205.92760858789302,9.196210612755765,30.072391412106963,39.26860202486273,205.92760858789302,0.8725746126605637,9.196210612755765,0.12742538733943629,0.7658126304844458,0.21849488965247676,133.97939797450422
