block_length_days,method,metric,mean,ci_2.5,ci_97.5
6,Risk-Constrained Convex Verifier,credit_f1,0.44163063622999443,0.30109847312185994,0.5722757508189772
9,High-5-of-10,nrmse,4.214370508655282,3.69177867380972,5.245126055929507
9,High-5-of-10,false_response_ratio,0.9168872009321221,0.9067450905551752,0.9388751558391984
9,High-5-of-10,credit_f1,0.1438533604600676,0.10886497301008531,0.16195421396597706
9,Ridge,nrmse,2.772429176047264,2.3959803593241986,3.3916736816597974
9,Ridge,false_response_ratio,0.8527939029836963,0.8375234200970618,0.8846385443174227
9,Ridge,credit_f1,0.23508779939634222,0.1907270736233032,0.25910638531953245
9,Gradient Boosting,nrmse,2.3513722852181904,2.0891241666605294,2.77081127749915
9,Gradient Boosting,false_response_ratio,0.8471070002653048,0.826074646175628,0.8748585720185802
9,Gradient Boosting,credit_f1,0.24586394533489042,0.2080365213097879,0.2720848786276426
9,Extra Trees,nrmse,3.3355704511286266,2.9605064488837756,3.9412352585506456
9,Extra Trees,false_response_ratio,0.8928335671903923,0.8728858619816001,0.9176877216145958
9,Extra Trees,credit_f1,0.17684690237257736,0.13922293893201562,0.20648181038236668
9,Metadata Gradient Boosting,nrmse,2.132880396331526,1.9072475512519267,2.537855781236384
9,Metadata Gradient Boosting,false_response_ratio,0.8361452884204993,0.8201271324159302,0.8699723579456867
9,Metadata Gradient Boosting,credit_f1,0.2644502686339565,0.21877008978739898,0.2866055756135671
9,Ex-post Metadata Gradient Boosting,nrmse,2.1236523448704627,1.7964516665780332,2.5396552388110045
9,Ex-post Metadata Gradient Boosting,false_response_ratio,0.8347761289967935,0.8163741796126375,0.8653604609020593
9,Ex-post Metadata Gradient Boosting,credit_f1,0.26741340977764494,0.22551227722874875,0.29407708984206293
9,Ex-post Quantile Gradient Boosting,nrmse,0.9444731654157017,0.6448347454385045,1.4898608396358262
9,Ex-post Quantile Gradient Boosting,false_response_ratio,0.48924344804753894,0.3687147571677743,0.6483935439319883
9,Ex-post Quantile Gradient Boosting,credit_f1,0.5316263338443133,0.4144976954972637,0.6073754920579008
9,Synthetic Control,nrmse,2.552037287594039,2.0713689468237995,3.2074652912939143
9,Synthetic Control,false_response_ratio,0.8671926330514376,0.8448901016740472,0.8951761450206014
9,Synthetic Control,credit_f1,0.20626312154014823,0.17339372096850605,0.22819478670709614
9,Feasible Quantile Projection,nrmse,0.3213704879915091,0.26305396091127997,0.377959142436365
9,Feasible Quantile Projection,false_response_ratio,0.19221031328756996,0.1361320185608798,0.261872876574108
9,Feasible Quantile Projection,credit_f1,0.5080477254230448,0.35279422744499894,0.6553901555032843
9,Tail-Risk Feasible Counterfactual,nrmse,0.33079501527027316,0.26668948326368064,0.38086472342593414
9,Tail-Risk Feasible Counterfactual,false_response_ratio,0.16341570276381578,0.12668568716022457,0.19761481382201906
9,Tail-Risk Feasible Counterfactual,credit_f1,0.48421870809475087,0.3213848006290062,0.6445444629939812
9,Single Feasible Projection,nrmse,0.3452089804915102,0.27349617759499634,0.3960631405850486
9,Single Feasible Projection,false_response_ratio,0.144146510188196,0.08844044871534185,0.20198224100890033
9,Single Feasible Projection,credit_f1,0.44155765212298137,0.2791524627541465,0.6016009705702114
9,Risk-Constrained Convex Verifier,nrmse,0.3433814662182168,0.2707799514386113,0.39383877739066314
9,Risk-Constrained Convex Verifier,false_response_ratio,0.14124824973683456,0.08566598481378666,0.19840608182088257
9,Risk-Constrained Convex Verifier,credit_f1,0.44163063622999443,0.2794392829814166,0.6026189276874165
18,High-5-of-10,nrmse,4.214370508655282,3.766829093558107,5.324781789551875
18,High-5-of-10,false_response_ratio,0.9168872009321221,0.9055253374949707,0.942208504421581
18,High-5-of-10,credit_f1,0.1438533604600676,0.10328585231271141,0.16500798779266398
18,Ridge,nrmse,2.772429176047264,2.526692644206921,3.405935237565584
18,Ridge,false_response_ratio,0.8527939029836963,0.8458191966637607,0.8843585052809945
18,Ridge,credit_f1,0.23508779939634222,0.19062744478972332,0.24817925670554078
18,Gradient Boosting,nrmse,2.3513722852181904,2.110359480785727,2.7853067117732615
18,Gradient Boosting,false_response_ratio,0.8471070002653048,0.8278142968913371,0.8784557595334831
18,Gradient Boosting,credit_f1,0.24586394533489042,0.20250285362615386,0.27059984800556086
18,Extra Trees,nrmse,3.3355704511286266,2.915627478000666,4.004971341038513
18,Extra Trees,false_response_ratio,0.8928335671903923,0.8714645696657071,0.9210648077878956
18,Extra Trees,credit_f1,0.17684690237257736,0.1324496109323159,0.21098856300992871
18,Metadata Gradient Boosting,nrmse,2.132880396331526,1.9570661919558867,2.568576700236387
