day,intervention,participating_destinations,dr_price_per_mwh,method,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
68,Single-site tariff 150,0,150.0,Tail-Risk Feasible Counterfactual,11.616287691363466,11.616287691363466,11.616287691363466,0.8534605938230715,3.6076255117731257,10.762827097540395,14.37045260931352,0.8534605938230715,0.07347102762077824,3.6076255117731257,0.9265289723792218,0.748955331480999,0.8283322165850874,-0.38063564983054476
68,Single-site tariff 150,0,150.0,Risk-Constrained Convex Verifier,10.244190292876405,10.244190292876405,10.244190292876405,0.7937344321930457,4.91999674863016,9.450455860683359,14.37045260931352,0.7937344321930457,0.07748142210370614,4.91999674863016,0.9225185778962938,0.6576310515479866,0.7678726762956669,0.0
69,Single-site tariff 150,0,150.0,Feasible Quantile Projection,26.031567529759425,26.031567529759425,26.031567529759425,0.679556990510445,6.14093877735139,25.35201053924898,31.49294931660037,0.679556990510445,0.026105112177112342,6.14093877735139,0.9738948878228877,0.8050059168604314,0.8814332367870474,-1.1672279341461778
69,Single-site tariff 150,0,150.0,Single Feasible Projection,25.991371151921093,25.991371151921093,25.991371151921093,1.2788559161865676,6.780434080865843,24.71251523573453,31.49294931660037,1.2788559161865676,0.04920309547009196,6.780434080865843,0.9507969045299082,0.7846999335406233,0.8598002041014697,-0.007363770180917939
69,Single-site tariff 150,0,150.0,Tail-Risk Feasible Counterfactual,32.21713712411125,32.21713712411125,32.21713712411125,5.361079251953768,4.636891444442895,26.856057872157475,31.49294931660037,5.361079251953768,0.1664045824835735,4.636891444442895,0.8335954175164264,0.8527641410200115,0.8430708345420195,-0.11314914097271078
69,Single-site tariff 150,0,150.0,Risk-Constrained Convex Verifier,25.991371151921093,25.991371151921093,25.991371151921093,1.2788559161865676,6.780434080865843,24.71251523573453,31.49294931660037,1.2788559161865676,0.04920309547009196,6.780434080865843,0.9507969045299082,0.7846999335406233,0.8598002041014697,-0.03826180698140469
70,Single-site tariff 150,0,150.0,Feasible Quantile Projection,19.837381096495886,19.837381096495886,19.837381096495886,1.892137736667225,1.8752040980187412,17.945243359828666,19.820447457847408,1.892137736667225,0.09538243619272183,1.8752040980187412,0.9046175638072784,0.9053904256194629,0.9050038297098502,0.11079340149449957
70,Single-site tariff 150,0,150.0,Single Feasible Projection,17.420546677955468,17.420546677955468,17.420546677955468,0.0,2.3999007798919374,17.420546677955468,19.820447457847408,0.0,0.0,2.3999007798919374,1.0,0.8789179313435853,0.9355575532935434,0.11079340149450445
70,Single-site tariff 150,0,150.0,Tail-Risk Feasible Counterfactual,21.055845016181156,21.055845016181156,21.055845016181156,3.012182981831835,1.7767854234980809,18.043662034349325,19.820447457847408,3.012182981831835,0.14305685568624815,1.7767854234980809,0.8569431443137521,0.910355937862815,0.8828423979896742,0.43146185278783555
70,Single-site tariff 150,0,150.0,Risk-Constrained Convex Verifier,17.420546677955468,17.420546677955468,17.420546677955468,0.0,2.3999007798919374,17.420546677955468,19.820447457847408,0.0,0.0,2.3999007798919374,1.0,0.8789179313435853,0.9355575532935434,0.11079340149450445
71,Single-site tariff 150,0,150.0,Feasible Quantile Projection,25.313832145750553,25.313832145750553,25.313832145750553,0.0,42.82048010262736,25.313832145750553,68.13431224837791,0.0,0.0,42.82048010262736,1.0,0.3715284019228242,0.5417728154983262,-3.552713678800501e-15
71,Single-site tariff 150,0,150.0,Single Feasible Projection,24.31095528617847,24.31095528617847,24.31095528617847,0.0,43.82335696219944,24.31095528617847,68.13431224837791,0.0,0.0,43.82335696219944,1.0,0.3568092857172305,0.5259534843596173,0.0
71,Single-site tariff 150,0,150.0,Tail-Risk Feasible Counterfactual,32.643617753997084,32.643617753997084,32.643617753997084,0.0,35.49069449438083,32.643617753997084,68.13431224837791,0.0,0.0,35.49069449438083,1.0,0.47910687987863615,0.6478326703719313,2.9989780228226475
71,Single-site tariff 150,0,150.0,Risk-Constrained Convex Verifier,24.31095528617847,24.31095528617847,24.31095528617847,0.0,43.82335696219944,24.31095528617847,68.13431224837791,0.0,0.0,43.82335696219944,1.0,0.3568092857172305,0.5259534843596173,0.0
72,Single-site tariff 150,0,150.0,Feasible Quantile Projection,17.320585330233456,17.320585330233456,17.320585330233456,0.15666643796043633,6.7085127966564695,17.163918892273017,23.87243168892949,0.15666643796043633,0.009045100669142611,6.7085127966564695,0.9909548993308572,0.7189849411207049,0.8333411890800999,0.0
72,Single-site tariff 150,0,150.0,Single Feasible Projection,15.664365639684027,15.664365639684027,15.664365639684027,0.0,8.208066049245462,15.664365639684027,23.87243168892949,0.0,0.0,8.208066049245462,1.0,0.6561696706811884,0.7923942604398782,0.0
72,Single-site tariff 150,0,150.0,Tail-Risk Feasible Counterfactual,19.991586758506266,19.991586758506266,19.991586758506266,1.2069554519117296,5.0878003823349545,18.784631306594534,23.87243168892949,1.2069554519117296,0.06037316929823889,5.0878003823349545,0.939626830701761,0.786875486811243,0.8564938631468529,1.574620847500357
72,Single-site tariff 150,0,150.0,Risk-Constrained Convex Verifier,15.664365639684027,15.664365639684027,15.664365639684027,0.0,8.208066049245462,15.664365639684027,23.87243168892949,0.0,0.0,8.208066049245462,1.0,0.6561696706811884,0.7923942604398782,0.0
