day,method,event_migration_mwh,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
89,Single Feasible Projection,5.920061277044937,2.824522302905161,2.9641174678668345,0.2787402200543762,0.26561294442452527,10.6339783590922,-1.748816872539745,6.127986120270288,5.920061277044937,5.920061277044937,5.920061277044937,1.451266053415515,14.995819090770217,4.468795223629421,19.46461431439964,1.451266053415515,0.24514375535989896,14.995819090770217,0.7548562446401009,0.22958560346728632,0.35208606133501613,0.0
89,Risk-Constrained Convex Verifier,5.920061277044937,2.633888706696695,2.7790561969878036,0.2613373944485858,0.24768610747121594,10.6339783590922,-1.7108198771308019,4.981678801600502,7.093645223909783,7.093645223909783,7.093645223909783,1.5765925439923345,13.94756163448219,5.517052679917448,19.46461431439964,1.5765925439923345,0.22225421405038479,13.94756163448219,0.7777457859496152,0.28344012323100654,0.415467939226912,0.30397596327154464
90,High-5-of-10,2.827610173462179,29.65706859324113,56.50565067193334,7.732555240252028,4.058442269652289,7.307500420791258,27.660971994162168,119.42466369634775,230.5613977296344,230.5613977296344,230.5613977296344,227.73378755617222,4.218847493575595e-15,2.8276101734621912,2.8276101734621952,227.73378755617222,0.987735977482328,4.218847493575595e-15,0.01226402251767211,0.9999999999999986,0.024230877014021317,221.28777595329734
90,Ridge,2.827610173462179,15.310297874501629,31.747886087130748,4.344561650219252,2.0951484081945253,7.307500420791258,15.310297874501629,99.1348608703186,122.48238299601303,122.48238299601303,122.48238299601303,119.65477282255083,0.0,2.8276101734621952,2.8276101734621952,119.65477282255083,0.976914147942776,0.0,0.023085852057223917,1.0,0.045129843230268155,122.48238299601303
90,Gradient Boosting,2.827610173462179,14.579279232427854,28.897411415254695,3.9544864524449355,1.9951116514406175,7.307500420791258,14.579279232427854,83.777165452359,117.33580174055125,117.33580174055125,117.33580174055125,114.50819156708903,0.0,2.8276101734621952,2.8276101734621952,114.50819156708903,0.9759015566304773,0.0,0.02409844336952251,1.0,0.04706274777692858,116.63423385942288
90,Extra Trees,2.827610173462179,23.393392278526143,46.941454789405206,6.423736173294996,3.201285108649108,7.307500420791258,23.09829376167184,118.34621732359993,187.34745324418293,187.34745324418293,187.34745324418293,184.51984307072078,8.881784197001252e-15,2.8276101734621863,2.8276101734621952,184.51984307072078,0.984907133112844,8.881784197001252e-15,0.015092866887156272,0.9999999999999969,0.02973691842292117,184.78635009337472
90,Metadata Gradient Boosting,2.827610173462179,14.280084143566006,29.464925309846407,4.032148287807548,1.9541680904918448,7.307500420791258,14.280084143566006,80.16064879832376,114.24067314852806,114.24067314852806,114.24067314852806,111.41306297506586,0.0,2.8276101734621952,2.8276101734621952,111.41306297506586,0.9752486562313413,0.0,0.0247513437686587,1.0,0.04830702378516989,114.24067314852806
90,Ex-post Metadata Gradient Boosting,2.827610173462179,12.961867063967631,26.64249779811092,3.645911223256018,1.7737757533463292,7.307500420791258,12.961867063967631,83.40613233755808,103.69493651174103,103.69493651174103,103.69493651174103,100.86732633827884,0.0,2.8276101734621952,2.8276101734621952,100.86732633827884,0.972731453737454,0.0,0.02726854626254614,1.0,0.05308942118739208,103.69493651174103
90,Ex-post Quantile Gradient Boosting,2.827610173462179,8.596518813489416,18.900475239834577,2.586448737800829,1.1763966224388644,7.307500420791258,8.596518813489416,57.05013130966229,69.16636772568123,69.16636772568123,69.16636772568123,66.33875755221902,0.0,2.8276101734621952,2.8276101734621952,66.33875755221902,0.959118712367885,0.0,0.040881287632114786,1.0,0.07855129709385979,68.77215050791534
90,Synthetic Control,2.827610173462179,16.72187674874459,35.13436069053242,4.807986133065191,2.288316905349414,7.307500420791258,15.924283799398484,114.03858007252005,132.75710342523826,132.75710342523826,132.75710342523826,129.92949325177608,1.0880185641326534e-14,2.827610173462184,2.8276101734621952,129.92949325177608,0.978700874751651,1.0880185641326534e-14,0.021299125248349093,0.9999999999999961,0.041709866819223576,127.39427039518787
