method,metric,mean,ci_2.5,ci_97.5
Tail-Risk Feasible Counterfactual,false_response_ratio,0.1702086001042193,0.11187714066497106,0.23615462074037052
Tail-Risk Feasible Counterfactual,false_response_mwh,1.7909078422069231,1.1535030376360207,2.5440614148298057
Tail-Risk Feasible Counterfactual,credit_precision,0.8297913998957808,0.7638453792596295,0.8881228593350289
Tail-Risk Feasible Counterfactual,credit_recall,0.36549634767540806,0.2632153461523083,0.46702512840169236
Tail-Risk Feasible Counterfactual,credit_f1,0.45236115076271444,0.3405878807147043,0.5599886932298838
Single Feasible Projection,nrmse,0.3392691716572267,0.25385517404100894,0.4313357254430148
Single Feasible Projection,bias_mw,-0.996727176246666,-1.403715071722282,-0.5027017353689603
Single Feasible Projection,false_response_ratio,0.19713838605993417,0.1267421243185331,0.2812066830161835
Single Feasible Projection,false_response_mwh,1.8234111693639643,1.160355998187897,2.6107631199906915
Single Feasible Projection,credit_precision,0.8028616139400656,0.7187933169838163,0.8732578756814671
Single Feasible Projection,credit_recall,0.3351688126525848,0.228370583240071,0.4401999217109491
Single Feasible Projection,credit_f1,0.4184427343483336,0.30167843661947097,0.5312635132633576
Risk-Constrained Convex Verifier,nrmse,0.3239605400958129,0.24374929222168493,0.41032994011579343
Risk-Constrained Convex Verifier,bias_mw,-0.9915060419734526,-1.3943880218695448,-0.49970577157857404
Risk-Constrained Convex Verifier,false_response_ratio,0.17121334863786916,0.11239603866144618,0.23780233817973567
Risk-Constrained Convex Verifier,false_response_mwh,1.7874305496787517,1.1504577849029702,2.5407919309832265
Risk-Constrained Convex Verifier,credit_precision,0.8287866513621308,0.762197661820264,0.8876039613385538
Risk-Constrained Convex Verifier,credit_recall,0.3642985630944853,0.2616208999946967,0.4661255412932438
Risk-Constrained Convex Verifier,credit_f1,0.4510140849561833,0.33882419869995,0.5591390011851946
