day,truth_source,assessed_source,truth_event_reduction_mwh,assessed_event_reduction_mwh,false_response_mwh,underpayment_mwh,credit_precision,credit_recall,credit_f1,nrmse,common_witness_digest,future_arrivals_used,execution_telemetry_used
61,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.0002500000000008884,0.00025000000000122147,3.3306690738754696e-16,0.0,0.9999999999986677,1.0,0.9999999999993339,1.4171737709417868e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
62,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.881784197001252e-16,0.014000000000001012,0.014000000000000123,0.0,6.344131569286151e-14,0.0008881784197001252,1.2688263137665995e-13,0.009869772524794793,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
63,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.013500000000000706,0.13350000000000112,0.12000000000000041,0.0,0.10112359550562242,1.0,0.1836734693877624,0.05746438405363376,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
64,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.0007500000000008888,0.009250000000001007,0.008500000000000119,0.0,0.08108108108116834,1.0,0.1500000000001493,0.005868362707103264,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
65,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.0005000000000008609,0.02850000000000117,0.02800000000000031,0.0,0.017543859649152293,1.0,0.03448275862074661,0.032567125357477585,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
66,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.07025000000000076,0.0702500000000012,4.440892098500626e-16,0.0,0.9999999999999937,1.0,0.9999999999999968,3.4500220881966956e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
67,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.002500000000000835,0.002500000000001279,4.440892098500626e-16,0.0,0.9999999999998224,1.0,0.9999999999999112,3.612726550675584e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
68,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.009000000000000757,0.009000000000001201,4.440892098500626e-16,0.0,0.9999999999999507,1.0,0.9999999999999754,4.873619912224103e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
69,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.013250000000000789,0.013250000000001233,4.440892098500626e-16,0.0,0.9999999999999665,1.0,0.9999999999999832,8.361198804061679e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
70,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.881784197001252e-16,1.3322676295501878e-15,4.440892098500626e-16,0.0,0.0008881784197001252,0.0008881784197001252,0.0008881784197001252,9.871070457426736e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
71,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,0.003250000000000891,0.11275000000000121,0.10950000000000032,0.0,0.028824833702890077,1.0,0.05603448275863504,0.13905998038505724,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
72,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.881784197001252e-16,1.3322676295501878e-15,4.440892098500626e-16,0.0,0.0008881784197001252,0.0008881784197001252,0.0008881784197001252,6.783860083619722e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
73,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.881784197001252e-16,1.3322676295501878e-15,4.440892098500626e-16,0.0,0.0008881784197001252,0.0008881784197001252,0.0008881784197001252,6.754374196885578e-16,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
74,independent declaration-only exact start policy,Exp27 common runtime-complete witness response,8.881784197001252e-16,1.3322676295501878e-15,4.440892098500626e-16,0.0,0.0008881784197001252,0.0008881784197001252,0.0008881784197001252,1.0374744534176697e-15,b64e86dcfdd48a460981128283726dfeb56c157dbd648d612910e0be019a8859,False,False
