day,slot,data_center,oracle_baseline_mw,actual_mw,nodal_response_mw,is_event
69,18,DC2@Bus42,13.762181696178528,13.640006462014398,0.12217523416413023,0
69,19,DC2@Bus42,14.160899092975313,10.899599393318624,3.261299699656689,0
69,20,DC2@Bus42,17.33149691727747,18.60350624754571,-1.27200933026824,0
69,21,DC2@Bus42,16.295203216573448,13.0759685575795,3.2192346589939476,0
69,22,DC2@Bus42,14.390125906842654,13.036019108022629,1.354106798820025,0
69,23,DC2@Bus42,13.292521079985876,12.765978910805813,0.5265421691800629,0
69,24,DC2@Bus42,13.385416263962531,12.858874094782465,0.5265421691800665,0
69,25,DC2@Bus42,11.357548336096286,16.611895072466197,-5.254346736369911,0
69,26,DC2@Bus42,15.490841796113656,14.364691465703316,1.12615033041034,0
69,27,DC2@Bus42,14.382966617229833,15.605530385644656,-1.2225637684148225,0
69,28,DC2@Bus42,20.2072858841669,19.0320528990803,1.175232985086602,0
69,29,DC2@Bus42,22.604196351992787,21.428963366906174,1.1752329850866126,0
69,30,DC2@Bus42,16.069590538745974,14.89435755365939,1.1752329850865841,0
69,31,DC2@Bus42,12.610957381793604,11.435724396707002,1.175232985086602,0
69,32,DC2@Bus42,10.07871603463433,8.90348304954773,1.1752329850865983,0
69,33,DC2@Bus42,11.334581231329917,22.510695266948375,-11.176114035618458,0
69,34,DC2@Bus42,11.243447483315009,10.217859493879246,1.0255879894357633,0
69,35,DC2@Bus42,11.605770859599701,15.135211449829978,-3.5294405902302763,0
69,36,DC2@Bus42,12.618732974336742,17.99247795303188,-5.373744978695138,0
69,37,DC2@Bus42,10.789064898549587,15.499321745424417,-4.710256846874831,0
69,38,DC2@Bus42,18.483331982469917,21.72298678415556,-3.239654801685642,0
69,39,DC2@Bus42,18.700011473652424,17.500412475192682,1.1995989984597415,0
69,40,DC2@Bus42,18.766462043212364,17.566863044752665,1.1995989984596989,0
69,41,DC2@Bus42,21.447482599258826,20.247883600799113,1.199598998459713,0
69,42,DC2@Bus42,17.270646161077313,16.071047162617564,1.1995989984597486,0
69,43,DC2@Bus42,11.995020347326577,13.01852177784737,-1.0235014305207937,0
69,44,DC2@Bus42,10.333151762358291,17.134640823331196,-6.801489060972905,0
69,45,DC2@Bus42,11.065962755453622,6.356776272280156,4.709186483173466,0
69,46,DC2@Bus42,9.015533989973022,6.563869246291391,2.451664743681631,0
69,47,DC2@Bus42,8.227062830578996,12.599786874131809,-4.372724043552813,0
69,48,DC2@Bus42,8.52965770049516,6.470917556728401,2.0587401437667596,0
69,49,DC2@Bus42,10.321788877504655,8.263048733737886,2.0587401437667694,0
69,50,DC2@Bus42,22.546207430734388,20.487467286967593,2.0587401437667943,0
69,51,DC2@Bus42,21.50334032886507,19.44460018509828,2.0587401437667907,0
69,52,DC2@Bus42,25.791492772176767,23.732752628409962,2.058740143766805,0
69,53,DC2@Bus42,20.75045989619782,18.691719752431005,2.0587401437668156,0
69,54,DC2@Bus42,24.083875110823243,22.433632692395797,1.650242418427446,0
69,55,DC2@Bus42,21.109962350640068,20.016775752584646,1.0931865980554214,0
69,56,DC2@Bus42,10.953858094646272,19.584454115306187,-8.630596020659915,0
69,57,DC2@Bus42,11.212075311855038,6.7896655693879335,4.422409742467105,0
69,58,DC2@Bus42,10.503481799506721,11.544718511233608,-1.0412367117268868,0
69,59,DC2@Bus42,10.540874365376043,7.126947414373728,3.413926951002315,0
69,60,DC2@Bus42,12.410730117526855,9.985225994833053,2.425504122693802,0
69,61,DC2@Bus42,12.49614607625481,11.665928155539692,0.8302179207151177,0
69,62,DC2@Bus42,12.706225726204975,11.928603069458854,0.7776226567461215,0
69,63,DC2@Bus42,8.316827758281914,7.54700994337767,0.7698178149042434,0
69,64,DC2@Bus42,15.984477768000168,25.60609372860671,-9.62161596060654,1
69,65,DC2@Bus42,20.548999688767957,37.540248170994325,-16.991248482226368,1
69,66,DC2@Bus42,23.288914407300922,33.966309857400375,-10.677395450099453,1
69,67,DC2@Bus42,20.520325928169488,32.71493714186077,-12.194611213691285,1
69,68,DC2@Bus42,18.312663030658612,33.96406814200996,-15.651405111351345,1
69,69,DC2@Bus42,21.48843902181179,36.47984785547435,-14.991408833662557,1
69,70,DC2@Bus42,17.058197661618863,27.595757039945255,-10.537559378326392,1
69,71,DC2@Bus42,15.04270864514443,24.49466523786404,-9.451956592719611,1
69,72,DC2@Bus42,14.196161559076565,13.787769428962672,0.4083921301138922,0
69,73,DC2@Bus42,14.494398043887262,14.086005913773338,0.40839213011392417,0
69,74,DC2@Bus42,10.196357122962485,9.787964992848636,0.40839213011384956,0
69,75,DC2@Bus42,11.793579922033281,11.392441117554828,0.4011388044784532,0
69,76,DC2@Bus42,13.359843075225868,13.000533599788255,0.3593094754376125,0
69,77,DC2@Bus42,12.629564877102817,12.270255401665139,0.3593094754376782,0
69,78,DC2@Bus42,13.843417883298994,13.484108407861335,0.3593094754376587,0
69,79,DC2@Bus42,16.178285217301056,15.818975741863465,0.3593094754375912,0
69,80,DC2@Bus42,13.06708763229214,12.707778156854538,0.35930947543760183,0
69,81,DC2@Bus42,12.144407912611596,11.785098437173978,0.3593094754376178,0
69,82,DC2@Bus42,12.183340261613978,11.824030786176298,0.35930947543768,0
69,83,DC2@Bus42,8.894828146605825,8.535518671168138,0.3593094754376871,0
69,84,DC2@Bus42,12.263069643968638,11.903760168531019,0.3593094754376196,0
69,85,DC2@Bus42,10.849073850883585,10.489764375445986,0.3593094754375983,0
69,86,DC2@Bus42,10.266727277852311,9.907417802414638,0.3593094754376729,0
69,87,DC2@Bus42,16.955665652673503,16.57784576668483,0.37781988598867144,0
69,88,DC2@Bus42,17.17995841175122,17.23682032266197,-0.05686191091075088,0
69,89,DC2@Bus42,14.276331499024668,13.40070616239322,0.8756253366314475,0
69,90,DC2@Bus42,10.314639681984534,9.868880992516829,0.4457586894677057,0
69,91,DC2@Bus42,11.399313006730562,10.98825665831826,0.411056348412302,0
69,92,DC2@Bus42,10.037202491904866,18.969442431857683,-8.932239939952817,0
69,93,DC2@Bus42,13.22717095591074,21.111546607552825,-7.884375651642085,0
69,94,DC2@Bus42,16.73751777999641,10.992946621986206,5.744571158010203,0
69,95,DC2@Bus42,15.844390481982408,10.09981932397218,5.744571158010228,0
69,0,DC3@Bus80,19.74847642135403,124.0,-104.25152357864597,0
69,1,DC3@Bus80,19.316095674523517,39.654259941100435,-20.338164266576918,0
69,2,DC3@Bus80,21.492264615926576,20.423894724071715,1.0683698918548608,0
69,3,DC3@Bus80,14.205757371938645,13.099700903850893,1.1060564680877523,0
69,4,DC3@Bus80,10.511987683284897,9.769996216385943,0.7419914668989538,0
69,5,DC3@Bus80,11.598072023217792,31.21982742622753,-19.621755403009736,0
69,6,DC3@Bus80,14.800081003659521,12.325178831607577,2.4749021720519444,0
69,7,DC3@Bus80,15.71724478824087,12.107801840878741,3.6094429473621297,0
69,8,DC3@Bus80,15.54093855369571,11.984902190544673,3.556036363151037,0
69,9,DC3@Bus80,16.744474843067064,12.877803466213223,3.8666713768538408,0
69,10,DC3@Bus80,14.25480825748025,11.828212199567018,2.4265960579132315,0
69,11,DC3@Bus80,25.88878650471832,22.00390770812423,3.884878796594087,0
69,12,DC3@Bus80,22.963883309522537,23.535778199161726,-0.5718948896391893,0
69,13,DC3@Bus80,17.62638080177154,15.843273143998431,1.7831076577731082,0
69,14,DC3@Bus80,13.037165769064263,12.188661334960623,0.8485044341036403,0
69,15,DC3@Bus80,13.311392611308735,12.670145436338402,0.6412471749703332,0
69,16,DC3@Bus80,15.42119819483694,14.779951019866616,0.6412471749703244,0
