day,endpoint,conversion_scale_factor,hull_baseline_cost_min_usd,hull_baseline_cost_max_usd,counterfactual_cost_usd,payment_interval_lower_usd,payment_interval_upper_usd,payment_interval_width_usd,selected_reference_payment_usd,oracle_payment_usd,oracle_inside_interval,candidate_hull_vertices,candidate_hull_definition,schema_version
74,q99,2.6930887095833507,110019.6693470487,110019.72088809242,110826.60783088108,-806.9384838323895,-806.8869427886675,0.05154104372195434,-806.8869427886675,,,2,segment between selected reference and payment-certified profile,5
75,q01,0.5844748596130233,107383.426048056,107383.4260483896,107767.12165958002,-383.6956115240173,-383.69561119041464,3.336026566103101e-07,-383.69561119041464,,,2,segment between selected reference and payment-certified profile,5
75,q99,2.6930887095833507,113008.00043215005,113008.0004345288,114640.57075362216,-1632.5703214721143,-1632.5703190933564,2.378757926635444e-06,-1632.5703190933564,,,2,segment between selected reference and payment-certified profile,5
76,q01,0.5844748596130233,106883.66824181088,106883.66824344816,107069.27527559847,-185.60703378758626,-185.60703215030662,1.6372796380892396e-06,-185.60703215030662,,,2,segment between selected reference and payment-certified profile,5
76,q99,2.6930887095833507,110355.51271270328,110355.51272077073,111238.80591350053,-883.2932007972558,-883.293192729805,8.067450835369527e-06,-883.293192729805,,,2,segment between selected reference and payment-certified profile,5
77,q01,0.5844748596130233,106347.37151971857,106347.37152085554,106358.59628647563,-11.224766757062753,-11.224765620092512,1.1369702406227589e-06,-11.224765620092512,,,2,segment between selected reference and payment-certified profile,5
77,q99,2.6930887095833507,107819.96195800928,107819.96196327826,107872.05387722143,-52.09191921215097,-52.09191394317895,5.268972017802298e-06,-52.09191394317895,,,2,segment between selected reference and payment-certified profile,5
78,q01,0.5844748596130233,106540.23044163418,106540.2304459874,106614.60870023935,-74.3782586051675,-74.37825425194751,4.353219992481172e-06,-74.37825425194751,,,2,segment between selected reference and payment-certified profile,5
78,q99,2.6930887095833507,108716.22327968742,108716.22329995976,109065.43620439823,-349.2129247108096,-349.21290443846374,2.0272345864214003e-05,-349.21290443846374,,,2,segment between selected reference and payment-certified profile,5
79,q01,0.5844748596130233,107835.18214934831,107835.1821498748,108028.51136099128,-193.32921164296567,-193.32921111647738,5.264882929623127e-07,-193.32921111647738,,,2,segment between selected reference and payment-certified profile,5
