day,baseline_method,mechanism,payment_usd,realized_grid_value_usd,payment_error_usd,absolute_percentage_value_error,overpayment_ratio,congestion_relief_index
70,Gradient Boosting,Uniform signed net,3496.121714633019,108.51109470234223,3387.610619930677,31.219025383747738,0.9689624379356792,0.0003957472040025528
70,Gradient Boosting,Nodal signed linear,3495.699266872759,108.51109470234223,3387.1881721704167,31.215132254096627,0.9689586871128603,0.0003957472040025528
70,Gradient Boosting,Nodal exact net value,3484.9663183812445,108.51109470234223,3376.4552236789023,31.11622118402627,0.9688630865297013,0.0003957472040025528
70,Extra Trees,Uniform gross,8578.159156322954,108.51109470234223,8469.648061620612,78.05329109298712,0.9873503052665608,0.0003957472040025528
70,Extra Trees,Nodal gross,9027.501552861138,108.51109470234223,8918.990458158796,82.19427223201977,0.9879799417295086,0.0003957472040025528
70,Extra Trees,Uniform signed net,6813.291480021722,108.51109470234223,6704.78038531938,61.78889268153937,0.984073616251334,0.0003957472040025528
70,Extra Trees,Nodal signed linear,7279.644566104889,108.51109470234223,7171.133471402547,66.0866383393675,0.9850939020831339,0.0003957472040025528
70,Extra Trees,Nodal exact net value,6614.277663783334,108.51109470234223,6505.766569080992,59.954851500918124,0.9835944149583411,0.0003957472040025528
70,Metadata Gradient Boosting,Uniform gross,5929.3657781073025,108.51109470234223,5820.85468340496,53.64294498523123,0.9816993758248155,0.0003957472040025528
70,Metadata Gradient Boosting,Nodal gross,5928.954529693791,108.51109470234223,5820.443434991449,53.63915506481213,0.9816981064437432,0.0003957472040025528
70,Metadata Gradient Boosting,Uniform signed net,4257.2006405137,108.51109470234223,4148.689545811358,38.23286049405054,0.9745111626476575,0.0003957472040025528
70,Metadata Gradient Boosting,Nodal signed linear,4256.806281937363,108.51109470234223,4148.29518723502,38.22922622441739,0.9745088013136091,0.0003957472040025528
70,Metadata Gradient Boosting,Nodal exact net value,4236.726321738744,108.51109470234223,4128.215227036402,38.04417638915677,0.9743879858027248,0.0003957472040025528
70,Ex-post Metadata Gradient Boosting,Uniform gross,4380.302242000993,108.51109470234223,4271.791147298651,39.367321461613116,0.9752274868930568,0.0003957472040025528
70,Ex-post Metadata Gradient Boosting,Nodal gross,4379.991819413937,108.51109470234223,4271.480724711595,39.364460716470816,0.975225731193977,0.0003957472040025528
70,Ex-post Metadata Gradient Boosting,Uniform signed net,2730.9107998954346,108.51109470234223,2622.3997051930924,24.167111320613074,0.9602656027042344,0.0003957472040025528
70,Ex-post Metadata Gradient Boosting,Nodal signed linear,2730.6222474832475,108.51109470234223,2622.1111527809053,24.1644521232934,0.9602614038604738,0.0003957472040025528
70,Ex-post Metadata Gradient Boosting,Nodal exact net value,2719.889298991722,108.51109470234223,2611.37820428938,24.065541053222947,0.9601045914837166,0.0003957472040025528
70,Ex-post Quantile Gradient Boosting,Uniform gross,916.5341843910177,108.51109470234223,808.0230896886754,7.446455976738331,0.8816071494655255,0.0003957472040025528
70,Ex-post Quantile Gradient Boosting,Nodal gross,916.4950432134718,108.51109470234223,807.9839485111296,7.4460952654428345,0.8816020932073196,0.0003957472040025528
70,Ex-post Quantile Gradient Boosting,Uniform signed net,-996.052177182519,108.51109470234223,-1104.5632718848613,10.179265769226628,0.0,0.0003957472040025528
70,Ex-post Quantile Gradient Boosting,Nodal signed linear,-996.0874559354968,108.51109470234223,-1104.598550637839,10.179590885778762,0.0,0.0003957472040025528
