day,method,truth_source,event_intervention,mae_mw,rmse_mw,nrmse,bias_mw,max_abs_error_mw
84,Ridge,independent_trace_observed_meter,False,9.513963423793815,25.921013176246895,2.543698392461814,8.788888843963448,96.82952343454842
84,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,2.8345008370901703,2.9691446422056957,0.2913701097257333,-2.8345008370901703,4.661607018021735
84,Single Feasible Projection,independent_trace_observed_meter,False,2.834501774203493,2.969145426445957,0.29137018668532894,-2.834501774203493,4.661607393942186
84,Synthetic Control,independent_trace_observed_meter,False,17.94700540274549,34.86079413370634,3.420983022342276,13.24888167096424,113.63394939796774
84,Tail-Risk Feasible Counterfactual,independent_trace_observed_meter,False,2.834501571868723,2.969145257980081,0.2913701701533217,-2.834501571868723,4.661607312126945
85,Ex-post Metadata Gradient Boosting,independent_trace_observed_meter,False,16.30148332674937,25.056840466781296,1.5761841730541608,6.924026324786439,74.8970814374914
85,Ex-post Quantile Gradient Boosting,independent_trace_observed_meter,False,5.63750798724007,6.281015811166146,0.39510319449045606,-4.86192621179592,8.615953101887595
85,Extra Trees,independent_trace_observed_meter,False,25.02923952823359,39.4313608800551,2.4804039848330297,11.942825873856442,111.89680282454398
85,Feasible Quantile Projection,independent_trace_observed_meter,False,3.4560046850722315,4.0535074978046675,0.25498323988079435,-0.9512372585575006,10.515570304890687
85,Gradient Boosting,independent_trace_observed_meter,False,17.65088687311692,26.474411881624697,1.6653555764165409,7.725579425198859,71.41406860268945
85,High-5-of-10,independent_trace_observed_meter,False,30.161933461940446,47.64225740208806,2.9969050641199932,15.920192800187987,112.55395285874613
85,Metadata Gradient Boosting,independent_trace_observed_meter,False,18.035098507894773,27.735712411497598,1.744696861894497,8.41437774876044,72.36310550975408
85,Ridge,independent_trace_observed_meter,False,11.682648719382982,22.95810949869205,1.4441648731832766,2.4824308352984303,93.6992253511273
85,Risk-Constrained Convex Verifier,independent_trace_observed_meter,False,3.0868434563285434,3.91668165058252,0.24637629938715203,-0.7584058353963312,13.312215002234197
85,Single Feasible Projection,independent_trace_observed_meter,False,3.167868541312167,3.9845623087460407,0.25064628782386994,-0.7221899846996134,13.837438970747783
