network,load_multiplier,day,mechanism,baseline_quality,payment_usd,realized_grid_value_usd,absolute_error_usd,normalized_absolute_error,overpayment_usd,congested_interval_share,native_max_line_loading,native_congested_lines,peak_dc_penetration_of_native_load,thermal_rating_normalization_factor,selected_critical_line,data_center_bus_indices_zero_based,settlement_schema_version,settlement_generator_segments,evaluation_generator_segments,estimator_checksum,checkpoint_schema_version,panel_checksum
IEEE RTS 24-bus,0.9,64,Nodal signed linear,Trace-Anchored Reference,142.6374207485702,142.51533973179357,0.122081016776633,0.0008566166772389,0.122081016776633,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Nodal exact net value,Trace-Anchored Reference,142.31467228305883,142.51533973179357,0.2006674487347481,0.0014080410509661,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Uniform gross,Risk-Constrained Convex Verifier,234.1212549887641,142.51533973179357,91.60591525697058,0.6427793346973605,91.60591525697058,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Nodal gross,Risk-Constrained Convex Verifier,234.1212549887641,142.51533973179357,91.60591525697058,0.6427793346973605,91.60591525697058,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Uniform signed net,Risk-Constrained Convex Verifier,4.166365746983406e-15,142.51533973179357,142.51533973179357,1.0,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Nodal signed linear,Risk-Constrained Convex Verifier,4.166365755680192e-15,142.51533973179357,142.51533973179357,1.0,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,64,Nodal exact net value,Risk-Constrained Convex Verifier,3.637978807091713e-12,142.51533973179357,142.51533973178994,0.9999999999999744,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,65,Uniform gross,Trace-Anchored Reference,217.26806673646823,70.64422678367373,146.62383995279453,2.0755247332777107,146.62383995279453,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,65,Nodal gross,Trace-Anchored Reference,217.26806673646823,70.64422678367373,146.62383995279453,2.0755247332777107,146.62383995279453,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,65,Uniform signed net,Trace-Anchored Reference,72.29049472538735,70.64422678367373,1.6462679417136172,0.02330364442596,1.6462679417136172,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
