peak_dc_penetration,assignment_id,assignment_type,region_to_bus_mapping,counterfactual_method,mean_absolute_error_usd,mean_overpayment_usd,maximum_line_loading,mean_lmp_spread_usd_per_mwh
0.03,22,one-to-one permutation,116-80-15-42,Trace-Anchored Reference,31.813668756867763,28.142912060403063,1.000000000000001,0.1441868043669387
0.03,23,one-to-one permutation,116-80-42-15,Feasible Quantile Projection,81.55095957045995,69.13836761804978,1.000000000000001,0.1441868043669387
0.03,23,one-to-one permutation,116-80-42-15,Risk-Constrained Convex Verifier,98.89861326936274,86.81104071918465,1.000000000000001,0.1441868043669423
0.03,23,one-to-one permutation,116-80-42-15,Single Feasible Projection,105.31155729746415,93.24079336658576,1.000000000000001,0.1441868043669387
0.03,23,one-to-one permutation,116-80-42-15,Trace-Anchored Reference,31.811902484358953,28.141114187140005,1.000000000000001,0.1441868043669387
0.03,24,co-located four-region control,80-80-80-80,Feasible Quantile Projection,82.98208622256088,70.54481985781287,1.0000000000000013,0.0
0.03,24,co-located four-region control,80-80-80-80,Risk-Constrained Convex Verifier,98.8456769172075,86.7243177464333,1.000000000000001,0.0
0.03,24,co-located four-region control,80-80-80-80,Single Feasible Projection,105.2417600063558,93.13787637571585,1.000000000000001,0.0
0.03,24,co-located four-region control,80-80-80-80,Trace-Anchored Reference,31.98389809692802,28.247346196925786,1.000000000000001,0.0
0.03,25,two-bus clustered control,80-80-116-116,Feasible Quantile Projection,82.94661186426836,70.5066137660714,1.000000000000001,0.11578729742075566
0.03,25,two-bus clustered control,80-80-116-116,Risk-Constrained Convex Verifier,98.83118263309417,86.7096474111187,1.000000000000001,0.11578729742075566
0.03,25,two-bus clustered control,80-80-116-116,Single Feasible Projection,105.23643276295452,93.1325491323155,1.000000000000001,0.11386898201862446
0.03,25,two-bus clustered control,80-80-116-116,Trace-Anchored Reference,31.850021083141286,28.133322683600486,1.000000000000001,0.11578729742075566
0.06,0,one-to-one permutation,15-42-80-116,Feasible Quantile Projection,164.06935151175423,139.0953651989763,1.000000000000001,0.1417979778396552
0.06,0,one-to-one permutation,15-42-80-116,Risk-Constrained Convex Verifier,198.755370234855,174.43558815260985,1.000000000000001,0.13702032478509135
0.06,0,one-to-one permutation,15-42-80-116,Single Feasible Projection,211.5812201917622,187.29621840131526,1.000000000000001,0.13702032478508816
0.06,0,one-to-one permutation,15-42-80-116,Trace-Anchored Reference,64.57825922472868,57.090979347507194,1.000000000000001,0.1441868043669387
0.06,1,one-to-one permutation,15-42-116-80,Feasible Quantile Projection,164.05032505483683,139.0770012973023,1.000000000000001,0.1417979778396552
0.06,1,one-to-one permutation,15-42-116-80,Risk-Constrained Convex Verifier,198.7437664421993,174.42396175011157,1.000000000000001,0.139409151312375
0.06,1,one-to-one permutation,15-42-116-80,Single Feasible Projection,211.5705657049604,187.28556391451377,1.000000000000001,0.13702032478508816
0.06,1,one-to-one permutation,15-42-116-80,Trace-Anchored Reference,64.5948296734582,57.10860287016503,1.000000000000001,0.1441868043669387
0.06,2,one-to-one permutation,15-80-42-116,Feasible Quantile Projection,164.1238007635997,139.24418730850718,1.000000000000001,0.1417979778396552
0.06,2,one-to-one permutation,15-80-42-116,Risk-Constrained Convex Verifier,198.8432595283149,174.60340062202576,1.000000000000001,0.13702032478509135
0.06,2,one-to-one permutation,15-80-42-116,Single Feasible Projection,211.67569024338033,187.46897622703133,1.000000000000001,0.13702032478508816
0.06,2,one-to-one permutation,15-80-42-116,Trace-Anchored Reference,64.66443857618611,57.25712099882804,1.000000000000001,0.1441868043669387
0.06,3,one-to-one permutation,15-80-116-42,Feasible Quantile Projection,164.1273255453792,139.24758934737952,1.000000000000001,0.1417979778396552
0.06,3,one-to-one permutation,15-80-116-42,Risk-Constrained Convex Verifier,198.84570623893273,174.6058515212727,1.000000000000001,0.13702032478509135
