day,solver_success,global_lp_status,mean_absolute_target_deviation_mw,first_stage_optimal_target_deviation_mw,worst_case_fractional_cost_margin,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_violation_usd,certificate_schema_version,candidate_checksum,conversion_scale_q01,conversion_scale_q10,conversion_scale_q50,conversion_scale_q90,conversion_scale_q99,certified_cost_q01_usd,certified_cost_q10_usd,certified_cost_q50_usd,certified_cost_q90_usd,certified_cost_q99_usd,reference_cost_q01_usd,reference_cost_q10_usd,reference_cost_q50_usd,reference_cost_q90_usd,reference_cost_q99_usd,weight_rho_0.03,weight_rho_0.1,weight_rho_0.3,weight_rho_1,weight_rho_3,weight_rho_10,weight_feasible_quantile
71,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00010084595027134428,106354.8930364041,106372.77941751934,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106255.31059118142,106282.00359949528,106354.8930364041,106452.66950176055,107488.14745303657,106266.02695784875,106294.73716858336,106372.77941751934,106477.55703422081,107575.67979192524,0.0,0.0,0.0,0.9999999970335477,1.7243706828583243e-09,0.0,0.0
72,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00012534394686052167,106257.21679843153,106279.57945999214,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106197.00861388704,106213.25065935464,106257.21679843153,106316.18623376446,106942.24441652223,106210.32119292184,106228.97302508733,106279.57945999214,106347.75907793325,107062.44639870344,0.0,0.0,0.0,0.999999997721053,0.0,0.0,0.0
73,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00015931607386164117,106296.53196358882,106324.90994699084,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106220.55715407518,106241.02041004042,106296.53196358882,106371.40715617628,107161.21094623127,106237.48249267286,106261.05112034013,106324.90994699084,106410.65979838591,107311.8715942491,0.0,0.0,0.0,0.9999999978234486,2.9920141800609408e-09,-8.154627620199234e-10,0.0
74,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.0000000000000003e-09,0.0,0.00011086295355300317,106225.70346283958,106245.57666422527,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106178.07587560797,106190.92411946683,106225.70346283958,106272.63120852821,106768.99104401108,106189.8478774401,106204.87772791498,106245.57666422527,106300.26639495316,106874.15103610775,-8.894528524871099e-09,0.0,0.0,0.9999999992331069,4.253967444555803e-09,-3.828999674890662e-10,9.053512224936275e-10
75,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0002861404813572876,106353.24663890812,106404.01032236003,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106254.5101366402,106281.05965889989,106353.24663890812,106450.37936052142,107478.4143382588,106284.92255553129,106317.00251484317,106404.01032236003,106520.9534581177,107748.88604318295,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
76,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.6585722449750433,0.6585722446535951,9.347824562896872e-14,106258.75430388824,106258.75430388823,2.9103830456733704e-11,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106197.71935659004,106214.12950711654,106258.75430388824,106318.63642317503,106946.44186593426,106197.71935659001,106214.12950711654,106258.75430388823,106318.63642317505,106946.44186593426,0.0,-0.0,1.0,0.0,0.0,0.0,0.0
77,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0022700089908347636,0.0022700089744413687,9.427751028826961e-14,106122.37201849159,106122.37201849156,2.9103830456733704e-11,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106115.99589724025,106117.71594995492,106122.37201849159,106128.6169546684,106194.12462743079,106115.99589724027,106117.71594995492,106122.37201849156,106128.6169546684,106194.1246274308,0.0,-0.0,1.0,0.0,0.0,0.0,0.0
78,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,1.0292993887762908e-05,106169.11200944828,106170.93054957094,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106144.07658115798,106150.83025705218,106169.11200944828,106193.63234801628,106451.93004419247,106145.1691327253,106152.11865473601,106170.93054957094,106196.21499656196,106462.1447706797,0.0,0.0,0.0,0.9999999729379211,0.0,0.0,2.7062081179080047e-08
79,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,9.999999999999999e-10,0.0,9.681759769896094e-05,106390.40140010271,106407.77981250896,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106276.87027669592,106307.46803539782,106390.40140010271,106501.90970272437,107705.23669748438,106287.16067201062,106319.68914984155,106407.77981250896,106526.0673821472,107799.72632999235,0.0,0.0,0.0,1.0000000010709325,-8.39176454408275e-10,0.0,-9.125576989658507e-10
80,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00010504597681630938,106261.43926357428,106280.3518564468,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106199.5454074679,106216.2421876922,106261.43926357428,106322.17185840012,106966.45188271135,106210.70241444124,106229.46717005952,106280.3518564468,106348.64838364458,107065.98062738382,0.0,5.068181997319699e-09,-8.879973083217831e-09,1.0000000064502634,-2.63847275936977e-09,0.0,-0.0
81,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0005664605214252076,106449.6695326438,106550.36286278816,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106312.3002978286,106349.24474095363,106449.6695326438,106585.04819275372,108024.95345955028,106372.55615144147,106420.48032083188,106550.36286278816,106724.84012535072,108575.64807368041,0.0,0.0,0.0,0.9999999947197974,0.0,5.28020265932158e-09,0.0
82,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.2573900619199306,0.2573900609199306,2.6931183465175082e-12,106275.50675826013,106275.955541807,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106207.99694679647,106226.20871377795,106275.50675826013,106341.77852616142,107043.4531704394,106208.22519353079,106226.47787504466,106275.955541807,106342.64444456674,107043.4639474123,0.0,0.0,0.0,0.5992645682764649,0.0,0.0,0.4007354317235351
83,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.03479004947477592,0.034790048474775924,9.388665912393409e-14,106146.28494127968,106146.28494127968,1.4551915228366852e-11,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106130.36242176492,106134.65775615964,106146.28494127968,106161.87986399603,106326.22291397351,106130.3624217649,106134.65775615964,106146.28494127968,106161.87986399603,106326.2229139735,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,8.902263798082273e-13,106136.57871806642,106136.5787182071,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106124.53106877346,106127.78109979621,106136.57871806642,106148.37849381569,106272.02822363884,106124.53106885799,106127.7810998959,106136.5787182071,106148.37849401141,106272.02822441209,0.0,0.0,0.0,1.3081368261764318e-09,0.0,-1.3081364616339379e-09,1.0
85,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.00017841547363097617,106282.21313683764,106313.91935508174,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106211.98087408896,106230.90678282079,106282.21313683764,106351.2639173465,107081.43621032327,106230.93389117855,106253.2958913084,106313.91935508174,106395.48130864659,107252.12642831201,0.0,0.0,0.0,0.0,0.9999999977153566,1.6144568005393268e-10,0.0
86,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.0000000102690795e-09,0.0,0.0001197035266571178,106238.23739336248,106259.59961479192,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106185.60607264172,106199.80414738244,106238.23739336248,106289.78585454282,106836.99678443487,106198.31838586726,106214.79521545257,106259.59961479192,106319.77017294182,106951.4302687856,0.0,0.0,0.0,1.00000001980189,-1.9801892958328765e-08,0.0,0.0
87,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,7.145040757338859e-05,106376.16210185034,106389.2100412066,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106268.29725141759,106297.31819284664,106376.16210185034,106482.36263655327,107607.91219134013,106275.89055897464,106306.45116412299,106389.2100412066,106500.37472267136,107667.07198174551,0.0,0.0,0.0,0.9999999980815809,0.0,5.223806028354163e-10,0.0
88,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.0000000032632296e-09,0.0,5.28197966910187e-05,106256.0151332073,106265.51992938618,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106196.28667148516,106212.39930464854,106256.0151332073,106314.51471574261,106933.93386127915,106201.89623404246,106219.03317841067,106265.51992938618,106328.12537880724,106985.33303340175,0.0,0.0,0.0,1.000000001132881,-1.1328804989751336e-09,-1.1109928613414799e-16,0.0
