day,conversion_scenario,conversion_scale_factor,event_slot,counterfactual_method,settlement_payment_usd,independent_realized_value_usd,absolute_error_usd,overpayment_usd,maximum_post_contingency_loading,credible_line_contingencies,evaluation_schema_version,certified_checksum,payment_evaluation_profile_checksum,certificate_used_scale
61,heldout-interior-high,1.2,67,Single Feasible Projection,-26.843071483859603,-21.349838739271945,5.493232744587658,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,67,Risk-Constrained Convex Verifier,-26.500600009938356,-21.349838739271945,5.150761270666408,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,67,Payment-Certified N-1 Verifier,-25.892867189952085,-21.349838739271945,4.54302845068014,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,68,Feasible Quantile Projection,-9.944000013174444,-9.500409732792832,0.4435902803816134,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,68,Single Feasible Projection,-5.34327599610333,-9.500409732792832,4.157133736689502,4.157133736689502,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,68,Risk-Constrained Convex Verifier,-5.343276269515627,-9.500409732792832,4.157133463277205,4.157133463277205,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,68,Payment-Certified N-1 Verifier,-5.343276033903749,-9.500409732792832,4.157133698889084,4.157133698889084,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,69,Feasible Quantile Projection,-2.2516369402328564,-2.371644378217752,0.1200074379848956,0.1200074379848956,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,69,Single Feasible Projection,1.0094765744870529,-2.371644378217752,3.381120952704805,3.381120952704805,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,69,Risk-Constrained Convex Verifier,1.009476149629336,-2.371644378217752,3.381120527847088,3.381120527847088,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,69,Payment-Certified N-1 Verifier,1.009476558669121,-2.371644378217752,3.381120936886873,3.381120936886873,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,70,Feasible Quantile Projection,-0.8010495488615561,-1.095991823633085,0.2949422747715289,0.2949422747715289,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
61,heldout-interior-high,1.2,70,Single Feasible Projection,3.6278967528651274,-1.095991823633085,4.723888576498212,4.723888576498212,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
