day,conversion_scenario,conversion_scale_factor,event_slot,counterfactual_method,settlement_payment_usd,independent_realized_value_usd,absolute_error_usd,overpayment_usd,maximum_post_contingency_loading,credible_line_contingencies,evaluation_schema_version,certified_checksum,payment_evaluation_profile_checksum
61,q01,0.5826705226086141,70,Payment-Certified N-1 Verifier,-0.1719998177486559,-0.5275328225252451,0.3555330047765892,0.3555330047765892,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,71,Feasible Quantile Projection,-5.39294884561059,-5.644061201641307,0.2511123560307169,0.2511123560307169,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,71,Single Feasible Projection,-5.146318093906302,-5.644061201641307,0.4977431077350047,0.4977431077350047,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,71,Risk-Constrained Convex Verifier,-5.318311659182655,-5.644061201641307,0.3257495424586523,0.3257495424586523,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q01,0.5826705226086141,71,Payment-Certified N-1 Verifier,-5.146318111510482,-5.644061201641307,0.4977430901308253,0.4977430901308253,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,64,Feasible Quantile Projection,-1.6255192931348574,39.73118667755443,41.35670597068929,0.0,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,64,Single Feasible Projection,16.96135008523379,39.73118667755443,22.769836592320644,0.0,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,64,Risk-Constrained Convex Verifier,18.747200774623707,39.73118667755443,20.983985902930726,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,64,Payment-Certified N-1 Verifier,13.05998282176006,39.73118667755443,26.67120385579437,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,65,Feasible Quantile Projection,-6.759531803538266,-6.296345454586117,0.4631863489521493,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,65,Single Feasible Projection,-5.706374755493016,-6.296345454586117,0.5899706990931008,0.5899706990931008,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,65,Risk-Constrained Convex Verifier,-5.83066907569264,-6.296345454586117,0.4656763788934768,0.4656763788934768,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,65,Payment-Certified N-1 Verifier,-5.706374776422308,-6.296345454586117,0.5899706781638088,0.5899706781638088,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,66,Feasible Quantile Projection,-10.975821280388118,-10.33177349573998,0.6440477846481372,0.0,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,66,Single Feasible Projection,-11.166655910295958,-10.33177349573998,0.8348824145559774,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,66,Risk-Constrained Convex Verifier,-10.820602260097075,-10.33177349573998,0.4888287643570947,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,66,Payment-Certified N-1 Verifier,-10.020911347257424,-10.33177349573998,0.3108621484825562,0.3108621484825562,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,67,Feasible Quantile Projection,-12.82611443668975,-12.14162944255986,0.684484994129889,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,67,Single Feasible Projection,-15.274438155604004,-12.14162944255986,3.1328087130441418,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,67,Risk-Constrained Convex Verifier,-16.36054456707643,-12.14162944255986,4.21891512451657,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,67,Payment-Certified N-1 Verifier,-14.72956690333558,-12.14162944255986,2.58793746077572,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,68,Feasible Quantile Projection,-5.645735496496855,-5.403351086870316,0.2423844096265384,0.0,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,68,Single Feasible Projection,-3.03132445861047,-5.403351086870316,2.372026628259846,2.372026628259846,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,68,Risk-Constrained Convex Verifier,-3.4633730663299502,-5.403351086870316,1.9399780205403656,1.9399780205403656,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,68,Payment-Certified N-1 Verifier,-3.0313244801727706,-5.403351086870316,2.372026606697545,2.372026606697545,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,69,Feasible Quantile Projection,-1.2776693635005358,-1.346444407128729,0.068775043628193,0.068775043628193,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,69,Single Feasible Projection,0.583100753974577,-1.346444407128729,1.9295451611033057,1.9295451611033057,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,69,Risk-Constrained Convex Verifier,0.904672981801923,-1.346444407128729,2.251117388930652,2.251117388930652,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,69,Payment-Certified N-1 Verifier,0.5831007449360186,-1.346444407128729,1.9295451520647475,1.9295451520647475,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,70,Feasible Quantile Projection,-0.4544428848748794,-0.6220960978098447,0.1676532129349652,0.1676532129349652,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,70,Single Feasible Projection,2.075187485967035,-0.6220960978098447,2.69728358377688,2.69728358377688,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,70,Risk-Constrained Convex Verifier,1.9775069207862543,-0.6220960978098447,2.599603018596099,2.599603018596099,1.000000000000002,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,70,Payment-Certified N-1 Verifier,-0.2028317687108938,-0.6220960978098447,0.4192643290989508,0.4192643290989508,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,71,Feasible Quantile Projection,-6.359665767280603,-6.655791449184108,0.2961256819035043,0.2961256819035043,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
61,q10,0.6871175459512688,71,Single Feasible Projection,-6.068825042902972,-6.655791449184108,0.5869664062811353,0.5869664062811353,1.0000000000000022,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,873e218887299725c0a3d473844293988c6dc610eead0ce4499470ca1c21d348
