day,capacity_multiplier,deadline_multiplier,capacity_binding_share,deadline_binding_share,estimator_schema_version,estimator_checksum,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
112,0.7,0.25,0.013020833333333334,0.9440591770688858,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2.243523030454936,2.2980371338559142,0.255071080636335,0.24902027707900648,9.009398980562274,-2.229097500502535,2.8642125530009643,1.9169889524806258,1.9169889524806258,1.9169889524806258,0.057702119809606156,16.15714987373451,1.8592868326710197,18.016436706405532,0.057702119809606156,0.03010039245919406,16.15714987373451,0.969899607540806,0.10319947628767082,0.1865496542830474,0.0
113,0.7,0.25,0.015625,0.9293584905660377,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,1.1708506194721553,2.457630243010324,0.2909550297719976,0.13861518746196994,8.446770089990222,-0.1894172771777806,12.967992985024571,8.320920036882583,8.320920036882583,8.320920036882583,3.740443550788603,3.3893794515916573,4.58047648609398,7.969855937685638,3.740443550788603,0.4495228333175947,3.3893794515916573,0.5504771666824053,0.5747251295265071,0.562339877884839,2.4424906541753444e-15
114,0.7,0.25,0.018229166666666668,0.9097345132743363,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,6.004177984255486,6.8417660129075575,0.5123664992359152,0.4496411670288881,13.353265725043666,-3.0550762875563033,15.894458198308548,12.558539905824565,12.558539905824565,12.558539905824565,1.3575088532607205,32.32079353672043,11.201031052563843,43.521824589284265,1.3575088532607205,0.10809448100181751,32.32079353672043,0.8919055189981824,0.25736584250012595,0.39946356103091185,-4.448241448045575
61,0.7,0.5,0.0546875,0.9127906976744186,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,3.3106624212531015,3.439244310283815,0.2598762209545654,0.25016031467114597,13.234163162950964,-3.3106624212531015,5.923396673855905,9.333045941417012,9.333045941417012,9.333045941417012,0.0,18.94548254201579,9.333045941417012,28.2785284834328,0.0,0.0,18.94548254201579,1.0,0.3300400141713474,0.4962858420120114,-2.911921264194591
62,0.7,0.5,0.010416666666666666,0.9051572728724253,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,0.30863897089766823,0.6419476170520428,0.03629471913292105,0.017449967045047098,17.68708044553417,-2.220446049250313e-16,2.0112049603237914,24.691013629593872,24.691013629593872,24.691013629593872,1.2345558835906263,1.9095836023552692e-14,23.45645774600325,23.456457746003267,1.2345558835906263,0.050000210688431454,1.9095836023552692e-14,0.9499997893115687,0.9999999999999992,0.974358863543219,-7.105427357601002e-15
63,0.7,0.5,0.013020833333333334,0.8850519584332533,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,7.898774433491277,8.788410786818117,0.40331803218425505,0.3624908118725307,21.790274883626203,-3.875550160387179,23.93579608729265,25.287338355614786,25.287338355614786,25.287338355614786,3.5606820498279905,35.84501225603435,21.72665630578679,57.57166856182114,3.5606820498279905,0.14080889019454193,35.84501225603435,0.8591911098054579,0.3773845165258055,0.5244247333892406,2.6645352591003757e-14
64,0.7,0.5,0.0234375,0.8813856960408685,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2.6896091599575866,2.819071714014857,0.13716746887885753,0.1308682141396663,20.552042966576735,-1.8936063387456645,6.035890627389222,25.545928205767133,25.545928205767133,25.545928205767133,0.2662134940404979,12.849599016542964,25.279714711726633,38.129313728269594,0.2662134940404979,0.010420975581556623,12.849599016542964,0.9895790244184433,0.6629994678604433,0.7940202170857779,7.105427357601002e-15
65,0.7,0.5,0.013020833333333334,0.9256756756756757,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,3.1718633827188008,6.320769959659017,0.5928469904245302,0.29750009452709986,10.661722268561732,-0.9631724074987251,32.827941791255256,19.386391355652197,19.386391355652197,19.386391355652197,8.834763900880303,12.606781706056996,10.551627454771893,23.15840916082889,8.834763900880303,0.4557198778670319,12.606781706056996,0.544280122132968,0.4556283370543155,0.49602430034590866,3.552713678800501e-15
66,0.7,0.5,0.028645833333333332,0.9227917472598324,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,6.032268864836964,8.231850998713892,0.6201237599833532,0.4544243148081338,13.274529263214927,-0.8095904293016216,23.018315660940416,31.92337057515774,31.92337057515774,31.92337057515774,10.962453940439872,26.97431895292037,20.96091663471787,47.93523558763824,10.962453940439872,0.34339901279004287,26.97431895292037,0.6566009872099571,0.43727576130080326,0.5249507258363095,-1.7763568394002505e-14
67,0.7,0.5,0.03125,0.9358020698576973,3,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,4.857155268960673,4.892255980628055,0.4236443104178086,0.4206047685687344,11.548027107464726,-4.857155268960673,5.6824588393813915,1.124100620214834,1.124100620214834,1.124100620214834,0.0,37.733141531470565,1.124100620214834,38.8572421516854,0.0,0.0,37.733141531470565,1.0,0.02892898615467174,0.056231258996377514,1.4210854715202004e-14
