day,method,mae_mw,rmse_mw,energy_abs_mwh,energy_abs_fraction_of_observed,mae_fraction_of_observed_peak,signed_energy_mwh,observed_energy_mwh,predicted_energy_mwh,trace_coverage,event_intervention
81,Batch-only trace-constrained verifier,4.077313521626379,13.764248609205364,391.42209807613233,0.41881756721807434,0.1621048825723077,115.65943498529712,934.5885385756098,1050.2479735609068,1.0,False
82,Batch-only minimum-cost schedule,6.588195758577744,15.427443905250636,632.4667928234635,0.701799120578981,0.31789604302898067,144.0328768753448,901.2077306418985,1045.2406075172432,1.0,False
82,Batch-only trace-constrained verifier,4.011367938304567,13.16939227653958,385.0913220772385,0.4273058352517144,0.19355800001237838,144.03287687534487,901.2077306418985,1045.2406075172435,1.0,False
83,Batch-only minimum-cost schedule,4.1526700080450825,15.085835422210701,398.65632077232794,0.5455689842594534,0.2842186542069371,178.40214323473612,730.7166137999168,909.1187570346528,1.0,False
83,Batch-only trace-constrained verifier,2.972475777606864,14.78672984489505,285.35767465025896,0.39051756763312756,0.203443342123844,178.40214323473612,730.7166137999168,909.1187570346528,1.0,False
84,Batch-only minimum-cost schedule,6.329121703247703,16.26373441658917,607.5956835117795,0.6781919641840326,0.298971598358403,117.44160306091317,895.9051649082999,1013.3467679692129,1.0,False
84,Batch-only trace-constrained verifier,4.440736166924011,15.165369665120519,426.31067202470507,0.47584352532261603,0.20976907254476898,117.44160306091302,895.9051649082999,1013.3467679692128,1.0,False
85,Batch-only minimum-cost schedule,6.702649466014832,14.709421586971231,643.4543487374239,0.6854868736193231,0.3411138700423892,94.24117048194385,938.6822322942955,1032.9234027762393,1.0,False
85,Batch-only trace-constrained verifier,3.706240446915393,11.722417167395568,355.7990829038777,0.3790410329108346,0.18861944497697625,94.24117048194387,938.6822322942955,1032.9234027762393,1.0,False
86,Batch-only minimum-cost schedule,6.933485719770705,18.01948511481769,665.6146290979877,0.7575345043008721,0.3948476667986493,181.7114576067292,878.659157198764,1060.3706148054932,1.0,False
86,Batch-only trace-constrained verifier,4.5479897981163875,16.558735069681237,436.60702061917317,0.49690146291892234,0.25899860950023024,181.7114576067292,878.659157198764,1060.3706148054932,1.0,False
87,Batch-only minimum-cost schedule,6.05965941558556,15.491787611219099,581.7273038962137,0.6532046370732661,0.33873267985808986,96.53378298043914,890.5743634991445,987.1081464795836,1.0,False
87,Batch-only trace-constrained verifier,3.2231525334612834,13.486114284578228,309.4226432122832,0.347441668988241,0.18017301309750758,96.53378298043911,890.5743634991445,987.1081464795836,1.0,False
88,Batch-only minimum-cost schedule,9.945124472725665,22.328381967900416,954.7319493816638,0.7977608984891434,0.2229274783562976,112.47786434034664,1196.7645333204514,1309.242397660798,1.0,False
88,Batch-only trace-constrained verifier,5.888779381791044,18.47422063821814,565.3228206519402,0.4723759811660183,0.13200143867273717,112.47786434034663,1196.7645333204514,1309.242397660798,1.0,False
