day,slot,observed_total_mw,trace_constrained_total_mw,observed_region_0_mw,trace_constrained_region_0_mw
73,40,42.50946948821728,42.50946948821728,11.449901075804291,11.449901075804291
73,41,42.32747228974062,42.32747228974062,11.332063326451593,11.332063326451593
73,42,41.04683129268609,36.979539920155176,10.689155322449018,8.326598226465137
73,43,39.853489324170546,311.53848182967863,10.42171589561142,78.65914815202359
73,44,40.96959916171065,40.96959916171065,10.714966548159122,10.714966548159122
73,45,36.22341065615561,36.22341065615561,9.010739857620065,9.010739857620065
73,46,34.439598012842964,34.439598012842964,8.519019956341438,8.519019956341438
73,47,37.645739560833874,81.18182338281719,9.969754026240057,19.24618776717074
73,48,48.58482292211079,48.58482292211079,13.592153578829354,13.592153578829354
73,49,48.121216968807595,48.121216968807595,13.049649533176247,13.049649533176247
73,50,47.09574736198094,47.09574736198094,12.1010829154251,12.1010829154251
73,51,40.02072913001196,40.02072913001196,9.915319114284,9.915319114284
73,52,48.97808279966073,48.97808279966073,12.885033539681238,12.885033539681238
73,53,36.48102430853448,24.468296555547226,9.396842505345496,6.0
73,54,49.95515317784613,41.00167043906674,12.772670141289236,9.898662204529217
73,55,37.24931168078191,27.09704738460283,9.529757516438938,6.0
73,56,34.2573060509194,24.238710659993387,8.22338012035472,6.238710659993387
73,57,31.021603432656942,30.402965863519015,7.852035375730682,7.233397806592755
73,58,30.198041984982446,26.811500052578047,7.311327035828026,6.0
73,59,29.874948597088444,25.853088789937136,7.311327035828026,6.0
73,60,29.874948597088444,24.0,7.311327035828026,6.0
73,61,29.48256808060873,24.0,7.311327035828026,6.0
73,62,29.186169139444342,24.0,7.273358801329363,6.0
73,63,28.949978074379004,24.0,7.1917541737654105,6.0
73,64,28.841740871635253,24.0,7.179655668812909,6.0
73,65,28.841740871635253,24.0,7.179655668812909,6.0
73,66,28.841740871635253,24.0,7.179655668812909,6.0
73,67,29.384130862025895,29.384130862025895,7.280822072585589,7.280822072585589
73,68,44.27241315848927,44.27241315848927,10.063410074576323,10.063410074576323
73,69,44.24176575721242,44.24176575721242,10.032762673299459,10.032762673299459
73,70,44.2356471560591,35.294267123460834,10.038595149727378,10.038595149727378
73,71,33.530623086202766,24.1212283270047,9.077653867440286,6.121228327004701
73,72,30.004724822389527,24.0,8.073124749264634,6.0
73,73,30.004724822389527,24.0,8.073124749264634,6.0
73,74,28.719198421832257,24.0,7.264743516354875,6.0
73,75,28.292902500401183,24.0,7.023278992238972,6.0
73,76,28.284154694081764,24.0,7.023278992238972,6.0
73,77,28.15796426309012,24.0,6.897088561247327,6.0
73,78,27.800886791345647,24.0,6.73575649124535,6.0
73,79,27.47191284746751,24.0,6.73575649124535,6.0
73,80,27.184319373400957,24.0,6.73575649124535,6.0
73,81,27.184319373400957,24.0,6.73575649124535,6.0
73,82,27.184319373400957,24.0,6.73575649124535,6.0
73,83,27.30453812895901,24.872719760017276,6.73575649124535,6.0
73,84,27.40642011776286,24.0,6.73575649124535,6.0
73,85,26.83328311408506,24.0,6.73575649124535,6.0
73,86,26.823493815187287,24.0,6.73575649124535,6.0
73,87,26.823493815187287,24.0,6.73575649124535,6.0
73,88,26.823493815187287,24.0,6.73575649124535,6.0
73,89,26.823493815187287,24.0,6.73575649124535,6.0
73,90,27.50084090253238,25.14334151209755,7.413103578590446,7.14334151209755
73,91,27.611990093183977,24.82865141962131,7.2017509159978035,6.0
73,92,27.67142301160797,25.354078762797748,6.73575649124535,6.0
73,93,27.650057195871124,24.552601306417785,6.73575649124535,6.0
73,94,27.466220910590437,24.0,6.73575649124535,6.0
73,95,26.741613444518663,28.63539739094494,6.73575649124535,6.73575649124535
74,0,26.836648216863136,452.0067583181965,6.73575649124535,124.0
74,1,26.93163013694069,31.584568728927113,6.771453934183773,11.424392526170195
74,2,26.8822998204785,29.475718843999985,6.736909390892529,9.330328414414012
74,3,26.943505524095563,26.943505524095563,6.822223964783779,6.822223964783779
74,4,29.308330332034906,68.32392187634173,7.7955395691282305,23.06402001473728
74,5,30.228610024011957,48.137018759703125,8.574965943848643,8.574965943848643
74,6,38.88584830258671,39.2293118002781,12.245775941046238,12.245775941046238
74,7,34.08569171606713,34.08569171606713,10.26055208086344,10.26055208086344
74,8,30.65434458799299,30.65434458799299,8.542649593472524,8.542649593472524
74,9,30.985857256000145,30.985857256000145,8.542649593472524,8.542649593472524
74,10,31.003254356820918,28.460604763348393,8.542649593472524,6.0
74,11,30.49952871868322,28.508822151762768,8.670980986306411,8.670980986306411
74,12,30.476500378544692,24.727521044428556,8.849011008725832,6.447778220972282
74,13,30.795062223497972,145.91491064844746,8.880151575050487,124.0
74,14,37.862972593613,135.56405536029098,10.928539255552439,61.74348521499542
74,15,42.98842081778024,42.98842081778024,9.39650270634041,9.39650270634041
74,16,43.61557718077275,43.61557718077275,9.241548348463619,9.241548348463619
74,17,44.23752553971462,44.23752553971462,9.25449434868823,9.25449434868823
74,18,45.07165884968647,45.07165884968647,9.230838183683167,9.230838183683167
74,19,45.571627824177696,45.571627824177696,9.230838183683167,9.230838183683167
74,20,44.992170602192424,26.652437288496564,9.241890234817472,6.0110520511343
74,21,41.88113903363011,27.563279360208167,9.406186438394949,7.625981856231078
74,22,41.892034557395235,27.431051255366203,9.487261668812843,7.563933458041902
74,23,36.67958898872921,25.60867038724757,10.135689304053502,6.0
74,24,32.585537407289415,25.02413968281104,10.213380763835117,6.453287597216672
74,25,31.102612824592008,29.109342353255386,8.624728167714132,6.63145769637751
74,26,30.853342568257172,25.603721261497483,8.563313321573895,6.0
74,27,31.235487226170342,38.03360016280298,8.563313321573895,8.563313321573895
74,28,31.540472554124047,31.540472554124047,8.563313321573895,8.563313321573895
74,29,31.57332441769207,31.57332441769207,8.563313321573895,8.563313321573895
74,30,31.445052374806657,30.852623942553304,8.915347838309142,8.915347838309142
74,31,32.32297490776353,32.32297490776353,9.070212824905813,9.070212824905813
74,32,32.42576720146411,28.274278645049776,9.070212824905813,6.0
74,33,31.65821069488772,24.79121763793666,9.070212824905813,6.0
74,34,30.871437809863487,24.639248249980678,9.070212824905813,6.0
74,35,30.037692574490702,24.0,9.070212824905813,6.0
74,36,30.50360318004811,84.18467784413534,9.119700971950314,22.236981067760325
74,37,30.958279522361366,53.220655962277384,8.933927847603504,8.933927847603504
74,38,32.04925540220158,32.04925540220158,9.243675331963104,9.243675331963104
