day,baseline_quality,mechanism,payment_usd,realized_n1_value_usd,mean_post_contingency_loading,maximum_post_contingency_loading,maximum_binding_contingency_constraints,absolute_error_usd,overpayment_usd
83,Risk-Constrained Convex Verifier,N-1 exact net value,-61.70576830568098,27.06260296914479,1.000000000000002,1.0000000000000022,4,88.76837127482577,0.0
83,Risk-Constrained Convex Verifier,N-1 signed linear,-61.08811854704207,27.06260296914479,1.000000000000002,1.0000000000000022,4,88.15072151618686,0.0
83,Trace-Anchored Reference,Base-case exact net value,66.50485136368843,27.06260296914479,1.000000000000002,1.0000000000000022,4,39.44224839454364,39.44224839454364
83,Trace-Anchored Reference,N-1 exact net value,26.671510259444403,27.06260296914479,1.000000000000002,1.0000000000000022,4,0.3910927097003878,0.0
83,Trace-Anchored Reference,N-1 signed linear,27.289160018084047,27.06260296914479,1.000000000000002,1.0000000000000022,4,0.22655704893925588,0.22655704893925588
84,Risk-Constrained Convex Verifier,Base-case exact net value,-5.4569682106375694e-12,245.42337346000022,1.000000000000002,1.0000000000000022,4,245.42337346000568,0.0
84,Risk-Constrained Convex Verifier,N-1 exact net value,-46.82329401752031,245.42337346000022,1.000000000000002,1.0000000000000022,4,292.24666747752053,0.0
84,Risk-Constrained Convex Verifier,N-1 signed linear,-46.82329401751988,245.42337346000022,1.000000000000002,1.0000000000000022,4,292.2466674775201,0.0
84,Trace-Anchored Reference,Base-case exact net value,210.99542738695527,245.42337346000022,1.000000000000002,1.0000000000000022,4,34.42794607304495,0.0
84,Trace-Anchored Reference,N-1 exact net value,244.28217680859234,245.42337346000022,1.000000000000002,1.0000000000000022,4,1.1411966514078813,0.0
84,Trace-Anchored Reference,N-1 signed linear,244.2821768085899,245.42337346000022,1.000000000000002,1.0000000000000022,4,1.1411966514103256,0.0
85,Risk-Constrained Convex Verifier,Base-case exact net value,1.8189894035458565e-12,-249.50491346317722,1.000000000000002,1.0000000000000022,4,249.50491346317904,249.50491346317904
85,Risk-Constrained Convex Verifier,N-1 exact net value,-325.9714180165174,-249.50491346317722,1.000000000000002,1.0000000000000022,4,76.4665045533402,0.0
85,Risk-Constrained Convex Verifier,N-1 signed linear,-324.897800842131,-249.50491346317722,1.000000000000002,1.0000000000000022,4,75.39288737895379,0.0
85,Trace-Anchored Reference,Base-case exact net value,53.73961525102459,-249.50491346317722,1.000000000000002,1.0000000000000022,4,303.2445287142018,303.2445287142018
85,Trace-Anchored Reference,N-1 exact net value,-250.9803231690039,-249.50491346317722,1.000000000000002,1.0000000000000022,4,1.475409705826678,0.0
85,Trace-Anchored Reference,N-1 signed linear,-249.72535443873255,-249.50491346317722,1.000000000000002,1.0000000000000022,4,0.22044097555533426,0.0
86,Risk-Constrained Convex Verifier,Base-case exact net value,3.637978807091713e-12,-175.5028804717822,1.000000000000002,1.0000000000000022,4,175.50288047178583,175.50288047178583
86,Risk-Constrained Convex Verifier,N-1 exact net value,-227.02090904187025,-175.5028804717822,1.000000000000002,1.0000000000000022,4,51.51802857008806,0.0
86,Risk-Constrained Convex Verifier,N-1 signed linear,-225.60637355559948,-175.5028804717822,1.000000000000002,1.0000000000000022,4,50.103493083817284,0.0
86,Trace-Anchored Reference,Base-case exact net value,43.61126436677296,-175.5028804717822,1.000000000000002,1.0000000000000022,4,219.11414483855515,219.11414483855515
86,Trace-Anchored Reference,N-1 exact net value,-177.4839988150543,-175.5028804717822,1.000000000000002,1.0000000000000022,4,1.981118343272101,0.0
86,Trace-Anchored Reference,N-1 signed linear,-176.2762386710587,-175.5028804717822,1.000000000000002,1.0000000000000022,4,0.7733581992765153,0.0
87,Risk-Constrained Convex Verifier,Base-case exact net value,7.275957614183426e-12,-274.38373984658756,1.000000000000002,1.0000000000000022,4,274.38373984659484,274.38373984659484
87,Risk-Constrained Convex Verifier,N-1 exact net value,-454.77878909544415,-274.38373984658756,1.000000000000002,1.0000000000000022,4,180.3950492488566,0.0
87,Risk-Constrained Convex Verifier,N-1 signed linear,-453.5381370417956,-274.38373984658756,1.000000000000002,1.0000000000000022,4,179.15439719520805,0.0
87,Trace-Anchored Reference,Base-case exact net value,138.95601656112012,-274.38373984658756,1.000000000000002,1.0000000000000022,4,413.3397564077077,413.3397564077077
87,Trace-Anchored Reference,N-1 exact net value,-275.6288983761606,-274.38373984658756,1.000000000000002,1.0000000000000022,4,1.2451585295730183,0.0
87,Trace-Anchored Reference,N-1 signed linear,-273.9746956379982,-274.38373984658756,1.000000000000002,1.0000000000000022,4,0.4090442085893642,0.4090442085893642
88,Risk-Constrained Convex Verifier,Base-case exact net value,0.0,-49.75689147808953,1.000000000000002,1.0000000000000022,4,49.75689147808953,49.75689147808953
88,Risk-Constrained Convex Verifier,N-1 exact net value,-222.14645845402265,-49.75689147808953,1.000000000000002,1.0000000000000022,4,172.38956697593312,0.0
88,Risk-Constrained Convex Verifier,N-1 signed linear,-221.06472922156274,-49.75689147808953,1.000000000000002,1.0000000000000022,4,171.30783774347321,0.0
88,Trace-Anchored Reference,Base-case exact net value,97.08588261846671,-49.75689147808953,1.000000000000002,1.000000000000002,4,146.84277409655624,146.84277409655624
88,Trace-Anchored Reference,N-1 exact net value,-51.49923761885293,-49.75689147808953,1.000000000000002,1.000000000000002,4,1.7423461407634022,0.0
88,Trace-Anchored Reference,N-1 signed linear,-50.59278285236761,-49.75689147808953,1.000000000000002,1.000000000000002,4,0.8358913742780842,0.0
89,Risk-Constrained Convex Verifier,Base-case exact net value,3.637978807091713e-12,104.44691667599,1.0000000000000022,1.0000000000000022,4,104.44691667598636,0.0
89,Risk-Constrained Convex Verifier,N-1 exact net value,-95.99782838090141,104.44691667599,1.0000000000000022,1.0000000000000022,4,200.4447450568914,0.0
89,Risk-Constrained Convex Verifier,N-1 signed linear,-95.1241449780386,104.44691667599,1.0000000000000022,1.0000000000000022,4,199.5710616540286,0.0
89,Trace-Anchored Reference,Base-case exact net value,130.27044714986005,104.44691667599,1.0000000000000022,1.0000000000000022,4,25.82353047387005,25.82353047387005
89,Trace-Anchored Reference,N-1 exact net value,103.21548364080991,104.44691667599,1.0000000000000022,1.0000000000000022,4,1.231433035180089,0.0
89,Trace-Anchored Reference,N-1 signed linear,103.65644075097865,104.44691667599,1.0000000000000022,1.0000000000000022,4,0.79047592501135,0.0
90,Risk-Constrained Convex Verifier,Base-case exact net value,3.637978807091713e-12,-45.485803275372746,1.000000000000002,1.0000000000000022,4,45.485803275376384,45.485803275376384
90,Risk-Constrained Convex Verifier,N-1 exact net value,-45.130057286713054,-45.485803275372746,1.000000000000002,1.0000000000000022,4,0.35574598865969165,0.35574598865969165
90,Risk-Constrained Convex Verifier,N-1 signed linear,-45.130057286707014,-45.485803275372746,1.000000000000002,1.0000000000000022,4,0.35574598866573126,0.35574598866573126
90,Trace-Anchored Reference,Base-case exact net value,0.0,-45.485803275372746,1.000000000000002,1.0000000000000022,4,45.485803275372746,45.485803275372746
