day,slot,method,flexible_profile_mw,network_dc_scale,mapped_dc_load_mw,secure_cost_usd_per_interval,max_base_loading,max_postcontingency_loading,credible_contingencies,evaluated_finite_nonislanding_outages,solver_success,post_solution_profile_reoptimization
93,65,Risk-Constrained Convex Verifier,1.824000327717009,0.1573939030950884,4.064540205108222,13266.786301780863,0.7515931810133732,1.0000000000000022,37,37,True,False
93,66,Risk-Constrained Convex Verifier,0.4279168055082181,0.1573939030950884,3.844805170501042,13265.538905511043,0.7516154693946424,1.000000000000002,37,37,True,False
93,67,Risk-Constrained Convex Verifier,1.6267393257325136,0.1573939030950884,4.033492526077434,13266.87230918797,0.7516008162674302,1.000000000000002,37,37,True,False
93,68,Risk-Constrained Convex Verifier,0.9199109459490655,0.1573939030950884,3.9222420485649403,13266.103289184466,0.7516074963946922,1.0000000000000022,37,37,True,False
93,69,Risk-Constrained Convex Verifier,3.6393785027728374,0.1573939030950884,4.350269661673898,13268.313395599407,0.7515595349949915,1.0000000000000022,37,37,True,False
93,70,Risk-Constrained Convex Verifier,2.0030421464805332,0.1573939030950884,4.092720295780657,13267.15141522649,0.7515972430529029,1.000000000000002,37,37,True,False
93,71,Risk-Constrained Convex Verifier,0.988339211031624,0.1573939030950884,3.93301224028831,13266.037325965768,0.7516065275627549,1.0000000000000022,37,37,True,False
93,64,Single Feasible Projection,1.4145608489486587,0.1573939030950884,4.0000969274636535,13266.532234468892,0.7516094981545255,1.0000000000000022,37,37,True,False
93,65,Single Feasible Projection,1.8240003277168153,0.1573939030950884,4.064540205108192,13266.883017937105,0.7516043990190017,1.000000000000002,37,37,True,False
93,66,Single Feasible Projection,0.4279168055080369,0.1573939030950884,3.844805170501014,13265.550636956905,0.7516182311237164,1.000000000000002,37,37,True,False
93,67,Single Feasible Projection,1.6267393257323217,0.1573939030950884,4.033492526077405,13267.031841199318,0.7516121193103833,1.0000000000000022,37,37,True,False
93,68,Single Feasible Projection,0.9199109459488799,0.1573939030950884,3.9222420485649114,13266.180572836623,0.751613204437627,1.0000000000000022,37,37,True,False
93,69,Single Feasible Projection,3.6393785027726295,0.1573939030950884,4.350269661673865,13268.493533380708,0.7515804184504672,1.000000000000002,37,37,True,False
93,70,Single Feasible Projection,2.1624036034265757,0.1573939030950884,4.117802817492314,13267.425944761895,0.7516055924627989,1.0000000000000022,37,37,True,False
93,71,Single Feasible Projection,0.9883392110314375,0.1573939030950884,3.93301224028828,13266.082511831533,0.7516126853550172,1.0000000000000022,37,37,True,False
94,64,Risk-Constrained Convex Verifier,0.4754380036373975,0.1573939030950884,3.8522847173543493,13265.586197809484,0.7516111433531817,1.000000000000002,37,37,True,False
94,65,Risk-Constrained Convex Verifier,1.049478255473682,0.1573939030950884,3.9426351531245487,13266.135184757317,0.7516038565482417,1.000000000000002,37,37,True,False
94,66,Risk-Constrained Convex Verifier,0.8379213401399825,0.1573939030950884,3.9093373844934214,13266.074023360281,0.7516089935915286,1.000000000000002,37,37,True,False
94,67,Risk-Constrained Convex Verifier,0.6585161034454083,0.1573939030950884,3.8811000940543634,13265.805467402992,0.7516143672070694,1.000000000000002,37,37,True,False
94,68,Risk-Constrained Convex Verifier,0.5295138497843936,0.1573939030950884,3.860795925842594,13265.683497123275,0.751614400697669,1.000000000000002,37,37,True,False
