network,load_multiplier,day,mechanism,baseline_quality,payment_usd,realized_grid_value_usd,absolute_error_usd,normalized_absolute_error,overpayment_usd,congested_interval_share,native_max_line_loading,native_congested_lines,peak_dc_penetration_of_native_load,thermal_rating_normalization_factor,selected_critical_line,data_center_bus_indices_zero_based,settlement_schema_version,settlement_generator_segments,evaluation_generator_segments,estimator_checksum,checkpoint_schema_version,panel_checksum
IEEE 300-bus,0.9,65,Nodal gross,Trace-Anchored Reference,3965.0871038725168,1305.9945711386972,2659.0925327338196,2.0360670645172405,2659.0925327338196,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Nodal signed linear,Trace-Anchored Reference,1312.456229039637,1305.9945711386972,6.4616579009398265,0.004947691241400724,6.4616579009398265,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Uniform gross,Trace-Anchored Reference,3965.087103872517,1305.9945711386972,2659.09253273382,2.036067064517241,2659.09253273382,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,65,Uniform signed net,Trace-Anchored Reference,1312.4562290396375,1305.9945711386972,6.461657900940281,0.004947691241401072,6.461657900940281,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,66,Nodal exact net value,Risk-Constrained Convex Verifier,1.4551915228366852e-10,1040.29482846288,1040.2948284627346,0.9999999999998601,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,66,Nodal gross,Risk-Constrained Convex Verifier,2452.7578013309844,1040.29482846288,1412.4629728681043,1.3577525661212146,1412.4629728681043,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,66,Nodal signed linear,Risk-Constrained Convex Verifier,0.0,1040.29482846288,1040.29482846288,1.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,66,Uniform gross,Risk-Constrained Convex Verifier,2452.7578013309844,1040.29482846288,1412.4629728681043,1.3577525661212146,1412.4629728681043,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,66,Uniform signed net,Risk-Constrained Convex Verifier,0.0,1040.29482846288,1040.29482846288,1.0,0.0,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
IEEE 300-bus,0.9,66,Nodal exact net value,Trace-Anchored Reference,1076.1073307496554,1040.29482846288,35.81250228677527,0.03442533915091277,35.81250228677527,0.0,0.1124848484848485,0,0.06,1.0,399,19;89;169;259,6,10,40,bb53c649b88195cc52c1a972bd4cd92d7903b8c284794c803fbd45149fb57e7c,2,9eff51b945033c2bde1f1c16173ad55708d68c8a94b5e63d0797b5404999cb02
