day,network,load_multiplier,settlement_segments,evaluation_segments,linear_absolute_error_usd,exact_absolute_error_usd,linear_minus_exact_error_usd,checkpoint_schema_version,panel_checksum
101,IEEE RTS 24-bus,0.98,10,40,218.02081262127092,218.02081262127103,-1.1368683772161603e-13,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
102,IEEE RTS 24-bus,0.98,10,40,279.5791351830493,279.5791351830467,2.6147972675971687e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
103,IEEE RTS 24-bus,0.98,10,40,236.21484056287989,236.2148405628741,5.7980287238024175e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
104,IEEE RTS 24-bus,0.98,10,40,223.76318373913273,223.76318373913273,0.0,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
105,IEEE RTS 24-bus,0.98,10,40,64.9780478774791,64.97804787747009,9.00968188943807e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
106,IEEE RTS 24-bus,0.98,10,40,89.29222029353514,89.29222029355878,-2.3646862246096134e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
107,IEEE RTS 24-bus,0.98,10,40,89.62845434934924,89.62845434934025,8.995471034722868e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
108,IEEE RTS 24-bus,0.98,10,40,300.5314966909391,300.5314966909482,-9.094947017729282e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
109,IEEE RTS 24-bus,0.98,10,40,100.26060607576179,100.26060607576619,-4.405364961712621e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
110,IEEE RTS 24-bus,0.98,10,40,188.1386475233211,188.13864752332483,-3.723243935382925e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
111,IEEE RTS 24-bus,0.98,10,40,359.13745733872,359.137457338722,-1.9895196601282805e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
112,IEEE RTS 24-bus,0.98,10,40,503.1840427345124,503.18404273452506,-1.2676082405960187e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
113,IEEE RTS 24-bus,0.98,10,40,42.04920507447423,42.04920507448878,-1.4551915228366852e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
114,IEEE RTS 24-bus,0.98,10,40,561.4993432388529,561.4993432388765,-2.3533175408374518e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
61,IEEE RTS 24-bus,0.98,20,80,662.2600758866378,662.5966571750123,-0.33658128837453205,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
62,IEEE RTS 24-bus,0.98,20,80,9.067786809785845e-12,7.275957614183426e-12,1.791829195602419e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
63,IEEE RTS 24-bus,0.98,20,80,862.3161579488374,862.3161579488442,-6.821210263296962e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
64,IEEE RTS 24-bus,0.98,20,80,432.78951879923267,432.78951879921806,1.460875864722766e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
65,IEEE RTS 24-bus,0.98,20,80,211.38637823212002,211.3863782321314,-1.1368683772161603e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
66,IEEE RTS 24-bus,0.98,20,80,172.76090980227804,174.46883030277058,-1.7079205004925484,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
67,IEEE RTS 24-bus,0.98,20,80,1098.575953401454,1098.575953401456,-2.0463630789890885e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
68,IEEE RTS 24-bus,0.98,20,80,77.98743439706858,77.98743439708232,-1.3741896509600338e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
69,IEEE RTS 24-bus,0.98,20,80,153.31406029981414,153.31406029981918,-5.030642569181509e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
70,IEEE RTS 24-bus,0.98,20,80,75.86550666297641,75.86550666298172,-5.300648808770347e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
71,IEEE RTS 24-bus,0.98,20,80,1561.9278544036206,1561.9278544036315,-1.0913936421275139e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
72,IEEE RTS 24-bus,0.98,20,80,272.10659112220674,272.10659112221583,-9.094947017729282e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
73,IEEE RTS 24-bus,0.98,20,80,233.54488482480147,233.54488482480338,-1.9042545318370685e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
74,IEEE RTS 24-bus,0.98,20,80,391.5355994801664,391.53559948016846,-2.0463630789890885e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
75,IEEE RTS 24-bus,0.98,20,80,12.829322330550182,12.829322330542709,7.473133223356854e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
76,IEEE RTS 24-bus,0.98,20,80,428.16417356587414,428.16417356589227,-1.8133050616597757e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
77,IEEE RTS 24-bus,0.98,20,80,727.4260585540557,727.4260585540706,-1.48929757415317e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
78,IEEE RTS 24-bus,0.98,20,80,98.94547355041506,99.1937522856042,-0.248278735189146,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
79,IEEE RTS 24-bus,0.98,20,80,1241.602506636537,1241.3823868373165,0.22011979922058345,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
80,IEEE RTS 24-bus,0.98,20,80,446.86015313089956,447.1266314361965,-0.2664783052969142,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
81,IEEE RTS 24-bus,0.98,20,80,848.4394822169145,848.273731563706,0.16575065320853355,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
82,IEEE RTS 24-bus,0.98,20,80,411.8056387964225,411.8056387964316,-9.094947017729282e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
83,IEEE RTS 24-bus,0.98,20,80,201.217337747917,201.238660669198,-0.021322921281011986,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
84,IEEE RTS 24-bus,0.98,20,80,641.031363661401,641.031363661401,0.0,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
85,IEEE RTS 24-bus,0.98,20,80,164.3980150762782,164.39801507629818,-1.9980461729574017e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
86,IEEE RTS 24-bus,0.98,20,80,130.18483132359833,130.18483132359688,1.4495071809506044e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
87,IEEE RTS 24-bus,0.98,20,80,377.3077930271172,377.33741466088213,-0.029621633764918442,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
88,IEEE RTS 24-bus,0.98,20,80,295.06109598286275,295.0610959828846,-2.1827872842550278e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
89,IEEE RTS 24-bus,0.98,20,80,396.0400988317821,396.14370106346905,-0.10360223168697758,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
90,IEEE RTS 24-bus,0.98,20,80,1.4550607402523016e-11,1.8189894035458565e-12,1.273161799897716e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
91,IEEE RTS 24-bus,0.98,20,80,35.071693628167694,35.071693628158755,8.93862761586206e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
92,IEEE RTS 24-bus,0.98,20,80,112.91514060925846,112.91514060926966,-1.1198153515579179e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
93,IEEE RTS 24-bus,0.98,20,80,200.92927499185768,201.17100590299742,-0.2417309111397401,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
94,IEEE RTS 24-bus,0.98,20,80,391.55997787147135,391.55997787150227,-3.092281986027956e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
95,IEEE RTS 24-bus,0.98,20,80,148.19614020817698,148.71701125629988,-0.5208710481228991,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
96,IEEE RTS 24-bus,0.98,20,80,305.688200517814,305.68820051783587,-2.1884716261411086e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
97,IEEE RTS 24-bus,0.98,20,80,119.67092700119792,119.67092700119065,7.275957614183426e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
98,IEEE RTS 24-bus,0.98,20,80,130.53706414374392,130.53706414374392,0.0,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
99,IEEE RTS 24-bus,0.98,20,80,123.04499292580165,123.04499292581386,-1.2207124200358521e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
100,IEEE RTS 24-bus,0.98,20,80,279.2586708764283,279.25867087642473,3.581135388230905e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
101,IEEE RTS 24-bus,0.98,20,80,218.73999056049195,218.17401238067578,0.5659781798161703,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
102,IEEE RTS 24-bus,0.98,20,80,279.8027409809029,279.8027409808983,4.604316927725449e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
103,IEEE RTS 24-bus,0.98,20,80,236.0759905110915,236.0759905110881,3.410605131648481e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
104,IEEE RTS 24-bus,0.98,20,80,223.5492161973889,223.5492161973889,0.0,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
105,IEEE RTS 24-bus,0.98,20,80,64.8675342275003,64.86753422748916,1.1141310096718371e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
106,IEEE RTS 24-bus,0.98,20,80,89.20706881802653,89.20706881804836,-2.1827872842550278e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
107,IEEE RTS 24-bus,0.98,20,80,89.59956337907686,89.62634021248778,-0.02677683341092063,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
108,IEEE RTS 24-bus,0.98,20,80,300.3873439126746,300.38734391268554,-1.0913936421275139e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
109,IEEE RTS 24-bus,0.98,20,80,100.0212669922028,100.02126699220935,-6.551204023708124e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
110,IEEE RTS 24-bus,0.98,20,80,188.09243378762213,188.0924337876222,-8.526512829121202e-14,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
111,IEEE RTS 24-bus,0.98,20,80,359.36966763408634,359.3696676340842,2.1600499167107046e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
112,IEEE RTS 24-bus,0.98,20,80,503.22065701971775,503.2206570197359,-1.8133050616597757e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
113,IEEE RTS 24-bus,0.98,20,80,42.156389498884884,42.156389498897624,-1.2740031252178596e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
114,IEEE RTS 24-bus,0.98,20,80,561.6437769104126,561.654789729957,-0.011012819544362173,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
61,IEEE RTS 24-bus,0.98,40,160,662.3510852266363,662.5368667206767,-0.18578149404038413,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
62,IEEE RTS 24-bus,0.98,40,160,1.0879477163784412e-11,5.4569682106375694e-12,5.422508953146842e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
63,IEEE RTS 24-bus,0.98,40,160,862.2870805735488,862.2870805735583,-9.549694368615746e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
64,IEEE RTS 24-bus,0.98,40,160,432.81137191849666,432.81137191848575,1.0913936421275139e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
65,IEEE RTS 24-bus,0.98,40,160,211.31666819955595,211.31666819956445,-8.498091119690798e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
66,IEEE RTS 24-bus,0.98,40,160,172.9152966396728,174.41362751725865,-1.4983308775858575,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
67,IEEE RTS 24-bus,0.98,40,160,1098.5835763370958,1098.5835763370942,1.5916157281026244e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
68,IEEE RTS 24-bus,0.98,40,160,77.9795629065583,77.97956290657021,-1.1908696251339279e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
69,IEEE RTS 24-bus,0.98,40,160,153.29812307164218,153.30127654015814,-0.003153468515961322,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
70,IEEE RTS 24-bus,0.98,40,160,75.87064446915198,75.8706444691561,-4.121147867408581e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
71,IEEE RTS 24-bus,0.98,40,160,1561.9347213118745,1561.9347213118854,-1.0913936421275139e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
72,IEEE RTS 24-bus,0.98,40,160,272.08956762164416,272.0895676216569,-1.2732925824820995e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
73,IEEE RTS 24-bus,0.98,40,160,233.53667283816495,233.53667283816685,-1.9042545318370685e-12,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
74,IEEE RTS 24-bus,0.98,40,160,391.5355838294066,391.5355838294072,-5.684341886080801e-13,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
75,IEEE RTS 24-bus,0.98,40,160,12.827723428432567,12.678918608024105,0.14880482040846132,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
76,IEEE RTS 24-bus,0.98,40,160,428.1591135989093,428.1591135989256,-1.63140612130519e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
77,IEEE RTS 24-bus,0.98,40,160,727.408286573716,727.408286573731,-1.48929757415317e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
78,IEEE RTS 24-bus,0.98,40,160,99.05073055842799,99.18155062130609,-0.13082006287810088,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
79,IEEE RTS 24-bus,0.98,40,160,1241.5931459549802,1241.445035190105,0.14811076487512764,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
80,IEEE RTS 24-bus,0.98,40,160,447.0135712124225,447.14681036508046,-0.13323915265794994,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
81,IEEE RTS 24-bus,0.98,40,160,848.4981512685376,848.0846924920515,0.4134587764860953,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
82,IEEE RTS 24-bus,0.98,40,160,411.8055358087313,411.8055358087422,-1.0913936421275139e-11,1,8afa88b01fd6cb0ec427fdd700d35d3d823c04903ea0a47f921ace9696bf41a9
