day,region,trace_available,realtime_inference_mwh,elastic_inference_mwh,batch_gpu_mwh,total_mwh,observed_execution_mwh,initial_batch_backlog_mwh
15,2,1,11.571256354092167,7.17074255230263,90.11363657973959,108.85563548613439,151.36246951765352,91.55251777073767
15,3,1,11.232420605481453,7.258608739093201,72.2513217698579,90.74235111443255,120.69091153144619,114.84647767814833
16,0,1,8.459027542132173,31.136047229878738,63.96996698245695,103.56504175446787,111.60086690359434,43.158640344713035
16,1,1,8.7400580758961,30.236181640691246,138.3898060770173,177.36604579360466,176.792646539231,32.0488925846874
16,2,1,8.365058752014665,32.382616970577644,66.20999005466027,106.95766577725257,115.87134642249784,49.04568373921859
16,3,1,8.571798566111132,32.294482382251864,63.00886492463415,103.87514587299715,147.4175226880801,84.89791726113465
17,0,1,4.246437194181055,119.97042898994414,72.23582672594506,196.45269291007025,205.51180183881775,35.12281519558658
17,1,1,4.505981478731403,119.29763109954632,109.81699626865796,233.62060884693568,187.22439390943558,32.622291839061035
17,2,1,4.623640235930546,120.39528036739213,82.70139854957489,207.72031915289756,163.62652029394226,40.13200309397331
17,3,1,4.439262507636247,119.47751663372495,42.47550131221989,166.3922804535811,159.0321409649417,41.35554044605164
18,0,1,5.104785303790171,190.42053458446645,74.17579002097892,269.7011099092355,265.48035963380073,26.063706266839116
18,1,1,5.109870806562615,191.56796527389588,69.83393715483724,266.5117732352957,259.8493099549677,79.01850677656104
18,2,1,5.229097593783263,190.835991908182,78.50226723264905,274.5673567346143,285.71781354040536,84.22580195292858
18,3,1,5.545797278937253,190.84917183620058,85.59707858584875,281.9920477009866,275.5821392048469,48.71567993469102
19,0,1,10.399853169649312,122.54993726009397,65.44938550780863,198.39917593755192,210.0189598063244,30.28445654227397
19,1,1,10.695391512711296,121.50653335515423,67.71853533977216,199.9204602076377,196.38747759370142,85.68097005688917
19,2,1,10.455892584922335,121.91213045404989,41.57202597935084,173.94004901832307,186.73745046114595,73.07534514713743
19,3,1,10.70484207203009,124.06615165890517,34.51865555399617,169.28964928493144,201.35960482804003,55.12558843083074
20,0,1,9.543412123579863,367.2958749137164,144.49823465820623,521.3375216955025,502.28400843573854,18.664672673501517
20,1,1,10.476573629530279,366.6452695923616,132.15073559972348,509.27257882161535,505.79725368461845,89.2139526708254
20,2,1,9.778192834907724,366.4430078459842,130.3411199911,506.5623206719919,491.8412186059756,60.27794370431457
20,3,1,9.705667914814029,366.6814896732187,129.00160883527712,505.3887664233099,488.80352172688094,23.05563288772211
21,0,1,11.527280881507112,224.8626106611251,70.78836619567502,307.17825773830725,319.3542716828792,37.71818593326543
21,1,1,11.326926198669382,227.385938252036,54.1290876185237,292.8419520692291,336.08899372722476,92.68927780782221
21,2,1,11.187145504410104,225.65130150914834,48.249537124058236,285.0879841376167,302.51776476586025,74.99904577033081
21,3,1,11.45201544047493,226.13414174459876,60.06819638854624,297.6543535736199,324.23005205898573,39.640877584151006
22,0,1,9.798337076445241,103.31533677820495,32.00851387092935,145.12218772557955,158.28829902159484,25.54217198869348
22,1,1,9.751027774264916,103.21012337640173,46.67379690305688,159.63494805372352,169.31259081280933,49.4422361498265
22,2,1,10.100415941128453,103.46105055903209,21.200959520611356,134.7624260207719,137.70328142061237,57.569265142087204
22,3,1,10.128047172858736,103.06765866679031,22.79317974841598,135.98888558806502,135.02465072496508,13.065179098785194
23,0,1,10.29352378251545,253.45073624362954,22.89527051242395,286.6395305385689,288.2888701383145,12.376060692678196
23,1,1,9.992673914335578,253.65912884612703,21.16719789218488,284.8190006526475,291.38385466981777,39.76459339074075
23,2,1,10.55787104190644,253.44680910537747,30.218704117830104,294.223384265114,289.4992430127969,54.628409742246774
23,3,1,9.649670878730777,253.03779341850702,18.870008597158403,281.5574728943962,286.2972900732633,14.029413961885156
24,0,1,4.8397034717764935,65.77791293351152,83.29487493428911,153.91249133957712,144.93301053659368,10.726721092932602
24,1,1,5.026821721009276,65.62564450466655,77.2563147596923,147.90878098536814,153.06165178594316,33.19973937357053
24,2,1,5.299192773663458,65.66884302543916,107.42470049193756,178.39273629104017,150.16858736781677,59.3525509945639
24,3,1,4.951457395200965,65.40193888826536,77.53106397531344,147.88446025877977,143.99047042075625,9.28959678301799
25,0,1,7.643694310139984,1.3920857519737728,47.72741725004332,56.763197312157075,63.18310276036155,19.706201895916024
25,1,1,7.639173863231143,1.4637630882720623,41.706462754124566,50.80939970562777,60.01205418099241,28.046868572995518
25,2,1,7.344892769465679,1.4669697802980202,42.73454228849738,51.54640483826108,73.25488575398442,87.57669991778731
25,3,1,7.780508461115335,1.4310322273727447,48.4434980631201,57.65503875160818,59.74024187549565,13.183586621041488
26,0,1,9.892418877735466,1.7415869300100315,74.6172580635103,86.2512638712558,47.99298316251269,13.286296447711537
26,1,1,9.944375764393945,1.713376516019554,38.92417710360135,50.58192938401485,48.57961545663457,18.844214097630864
26,2,1,9.93263672882755,1.6959727954205213,49.11053966319704,60.73914918744511,49.06123820246859,65.86821900206401
26,3,1,9.785256033202787,1.7318397163628458,33.41967148323741,44.93676723280304,38.621373325861455,11.098383497154023
27,0,1,9.29584702333794,22.447847155864984,26.113852084326552,57.85754626352948,88.03129710244377,51.54457715645464
27,1,1,9.295380852250466,21.931428475719823,26.57780798090203,57.80461730887232,70.57652400605038,20.84652802501114
27,2,1,9.441885711286641,22.148296916171404,29.916712790057307,61.50689541751535,74.04368733311787,77.54612998704049
27,3,1,9.220327307167135,22.140866431565,26.76035017268856,58.1215439114207,66.1297866570995,17.41377740409562
28,0,1,8.62424987665026,34.72805084922912,18.77343533090036,62.12573605677974,75.7009825800272,21.370826317540352
28,1,1,8.761657336282399,34.92081965709795,22.71317603104216,66.39565302442251,66.02216198437212,8.074621327833068
28,2,1,8.31765056505821,34.22445893718779,14.548562797655915,57.09067229990192,69.05889475951525,65.00933807143778
28,3,1,8.234785122660544,34.27532809130882,16.111613626614176,58.62172684058354,58.960827221723484,9.405534658416805
29,0,1,10.433431614344038,38.54207904378647,54.89476621662912,103.87027687475964,96.7058871760646,7.7955797942928955
29,1,1,10.695900062988542,38.10050201277579,66.03557060878842,114.83197268455275,112.52335324775385,8.448112367883452
29,2,1,11.045627263370243,38.2954462857195,65.57668876346673,114.91776231255648,110.09717564287809,53.04111561182438
29,3,1,10.801184096774737,38.613784632877945,79.89427989526843,129.3092486249211,98.27728856280393,9.066434277276864
30,0,1,8.640043188038021,1.9091118671723124,53.841120286190986,64.39027534140132,67.30974112709606,14.959969492987929
30,1,1,8.812017940126191,2.0132234100415265,50.26722720926464,61.092468559432355,65.97625946230482,10.75673180468238
30,2,1,8.653307874436148,2.034356499340352,115.64991239458334,126.33757676835984,148.28430897672547,57.86170228150279
30,3,1,9.477229955555133,1.9160620542946534,59.017313470891686,70.41060548074147,93.12936706429035,40.09839433939406
31,0,1,6.556074783873154,2.9677440276362073,52.32079808547998,61.844616896989336,67.47457674988537,12.040503707293189
31,1,1,6.2015304822542205,2.8834941983727074,51.16055017571749,60.24557485634442,60.305203802316676,5.872940901809884
31,2,1,6.039204059037106,2.934914281960759,48.105340262461056,57.07945860345892,74.8993398412618,35.91497007313716
31,3,1,6.28802640857555,2.9520496010245796,48.00630672093121,57.24638273053134,68.16788033616592,17.379632755845172
32,0,1,6.688001201628322,16.493472108351575,21.55758430948903,44.73905761946893,43.35218949165766,6.410543854397159
32,1,1,6.330900022226576,16.317979883512464,21.43417400239792,44.08305390813696,45.688971165231884,5.8133119558376265
32,2,1,6.534461397090263,16.610127891392818,18.82640586764475,41.97099515612783,50.33391630714943,18.095088835334256
32,3,1,6.664579636081896,16.25712336700221,20.019208719695204,42.94091172277931,43.173788310656,6.458135150210593
33,0,1,10.047117046793915,72.9505625493538,0.0,82.99767959614772,90.79509157835614,7.797411982208407
33,1,1,9.85393857342397,73.07611796224684,0.0,82.93005653567081,87.13745123441348,4.207394698742699
33,2,1,10.493398167869113,72.10724492571659,0.0,82.6006430935857,92.3328107778987,9.732167684312689
33,3,1,9.993662762096886,73.12099752421366,0.0,83.11466028631055,89.33991884864471,6.225258562333921
34,0,1,9.436560059772166,48.043083724802784,64.97529003654282,122.45493382111776,108.80354875820431,1.1591422266477025e-14
34,1,1,9.765832237891367,47.314062775976254,68.68002114937043,125.75991616323805,108.8891846838475,1.5796391972244805e-14
34,2,1,9.258736979495684,47.862548376381,71.29575000151085,128.41703535738753,112.74060159527941,0.0
34,3,1,9.930079851044738,47.619772124583136,80.28525473196166,137.83510670758955,119.61536954500772,0.0
35,0,1,10.736894865893081,46.58798011764047,83.07527511271545,140.400150096249,126.23681950654077,13.651385062913446
35,1,1,10.123540852346487,46.44897637519365,41.339600320658356,97.9121175481985,102.4285541925507,16.870731479390567
35,2,1,10.150762418575656,46.62516079346568,54.199395207703304,110.97531841974464,111.73150593183658,15.676433762107818
35,3,1,10.127722265737162,46.663132547499934,98.45019192809143,155.24104674132852,146.53520392879312,18.219737162581566
36,0,1,10.481475489147048,21.851699093365163,62.76085467994788,95.0940292624601,98.07164533920547,27.814715652621704
36,1,1,10.130702935417679,22.498970585124646,39.289389404432924,71.91906292497525,65.69968433821771,12.354294835038358
36,2,1,10.508569917806907,21.943986842288442,54.35362078236679,86.80617754246214,83.02627711381744,14.920246250015856
36,3,1,10.400107444787935,22.101778692200128,56.87234571347889,89.37423185046696,84.71901746381582,26.925579975116932
37,0,1,7.216978248342105,7.203205011666735,50.97472903820477,65.39491229821361,77.65231592657005,24.837099575876294
37,1,1,7.284008000162245,7.125806484749447,42.95571549235057,57.36552997726226,62.052648240751495,18.573673421795906
37,2,1,7.040935094035981,6.94169715799036,44.66891986324345,58.651552115269794,65.07923010936445,18.700146678660523
37,3,1,7.331924737395946,6.934083030228283,65.93820425552768,80.20421202315191,90.92998195932617,31.580794361768106
38,0,1,5.695381692430076,0.848162977667637,105.18487782343921,111.72842249353693,109.87706390984056,12.579695947519847
38,1,1,6.018579520015524,0.8249956872598336,88.20245893177659,95.04603413905195,94.9255151119588,13.886555158306715
38,2,1,6.07843306236788,0.8924492309776758,85.27801883188359,92.24890112522914,93.1699463018387,12.272468684565865
38,3,1,5.803377994361575,0.8914180040265968,126.46054955083116,133.15534554921933,102.52429332668922,20.85502442559385
39,0,1,6.982126905031295,0.26636733410337876,22.765357744692473,30.01385198382715,30.08703071765585,14.431054531216237
39,1,1,7.145399796819948,0.28001343320943856,60.49774680649413,67.92316003652351,69.4549153768863,14.00707418539987
39,2,1,7.2828072564520845,0.2936736587120885,32.151111766795296,39.72759268195947,40.96940559504567,11.351423507956298
39,3,1,7.197469694651145,0.314566599268882,25.319630881941404,32.83166717586143,44.47126549049668,51.48607664812403
40,0,1,10.327130480003355,48.4414339822477,54.619113052381245,113.3876775146323,109.92824674068906,14.357875797387544
40,1,1,9.996954212502384,47.78263535087068,64.1279490606117,121.90753862398476,114.99794990794842,12.475318845037094
40,2,1,10.07052448594375,47.7923119325349,54.500563601113086,112.36340001959174,110.61393088310487,10.109610594870121
40,3,1,10.566530523016187,47.59705687886621,48.89212094431018,107.05570834619257,105.69222794975924,39.846478333488776
41,0,1,9.755816622708968,106.54946226634114,117.75758800723509,234.0628668962852,216.81617331674528,17.817306571330782
41,1,1,9.893647874238809,107.09296124874956,74.01498097141135,191.00159009439972,197.2031558395785,19.38490756107343
41,2,1,9.722577211532405,107.51476132453408,96.76252410590355,213.99986264197003,209.12037301108623,11.859079731356992
41,3,1,9.706317729057174,107.35072560732957,92.48078382343911,209.53782715982584,214.07205569982625,41.2099587299221
42,0,1,11.529795380100154,71.20581130650758,90.15452746337306,172.89013414998078,175.9635449456932,35.06400015087068
42,1,1,11.38802286392167,70.73017553331812,113.35898678131468,195.47718517855446,186.03869960082557,13.183341815894641
42,2,1,11.638907667362272,71.36707824998045,122.41581436491346,205.42180028225619,205.86927941182313,16.738569362240806
42,3,1,11.438779006869984,71.04009454810884,103.97713423559608,186.45600779057492,179.4559371293623,36.67573018992171
43,0,1,8.834040992410195,50.546563728504566,123.16327328150004,182.5438780024148,196.97725208962657,31.99058935515824
43,1,1,8.972635069355901,49.714956887640554,101.9982713022527,160.68586325924915,169.05669094657134,22.62182739362357
43,2,1,8.524644654293297,49.48471074961812,74.11770279389458,132.12705819780598,133.27093341125465,16.291090232673834
43,3,1,8.792749535177261,50.73040465372844,100.23635177541483,159.75950596432054,165.03294580720544,43.67580085113433
44,0,1,9.038760731794273,37.53231008912782,105.84817144784213,152.41924226876424,119.33101466823094,17.55721526794645
44,1,1,8.942701234981428,37.34036061226122,74.08616266185739,120.36922450910004,125.44795382307967,14.25099970630139
44,2,1,9.014209054520636,37.336617117164835,77.68696526606331,124.03779143774878,129.76251723298293,15.147215019225191
44,3,1,8.849029099192318,37.202939026232485,96.70580559348514,142.75777371890993,148.72209138153212,38.40236100824948
45,0,1,5.370573455633354,131.00284807250262,96.04194486923622,232.4153663973722,221.30104688798886,50.64544286847977
45,1,1,5.559584642009215,130.7950770314551,74.17507794823996,210.52973962170427,200.94623704659807,9.172270392321758
45,2,1,5.569854532330234,130.99233803343958,92.78279220684638,229.3449847726162,217.70387615324103,9.422489223991045
45,3,1,5.610609186492741,131.54780207375984,94.18567783643817,231.34408909669077,244.24412804713552,32.4380433456273
46,0,1,8.592790391444057,41.48431079918092,75.57547345519964,125.65257464582461,187.41233702368777,61.759762377863034
46,1,1,8.637387425479078,41.65259856175907,93.41425575342615,143.7042417406643,162.46001470809213,18.7557729674279
46,2,1,8.541059527131022,41.35210185349395,71.29656867196526,121.18973005259024,142.2533278959568,21.063597843366228
46,3,1,8.508201528662394,41.58919929386259,74.63453115731626,124.73193197984125,144.26993637502397,19.538004395182583
47,0,1,7.351179015948285,8.414190359355118,64.68282854452819,80.4481979198316,51.973059124764816,0.0
47,1,1,6.988752185032062,8.294539780236768,79.93984828665435,95.22314025192318,67.41026201232471,8.815170815523743e-14
47,2,1,6.950526155859187,8.242653525561241,126.62018602552915,141.81336570694958,53.35449103529923,0.0
47,3,1,6.956332104857728,8.293254278147067,60.12417298086535,75.37375936387015,48.68882037242567,0.0
48,0,1,9.362269340104703,43.722341684557676,92.52367021630518,145.60828124096756,149.50273970923726,28.475138795066677
48,1,1,8.85528709288174,43.656074758153395,89.0434083086914,141.55477015972653,142.6684729658985,27.812878239598618
48,2,1,9.225610579491843,43.819220512372745,100.1487753563379,153.19360644820247,174.15318051679844,88.45887467165001
48,3,1,9.230314669556353,43.962758828125,110.48860025095468,163.68167374863603,161.9516706519839,26.68493899144435
49,0,1,10.927897874188147,9.742537809914252,86.29231741360746,106.96275309770986,98.49436317962531,24.580680326796987
49,1,1,10.591816772912509,9.301850741888742,141.5944148203832,161.48808233518446,129.91370491450402,26.69917543342665
49,2,1,11.35171802468505,9.437690171499375,79.23026993421792,100.01967813040234,83.99725251780866,67.49930060305407
49,3,1,10.552601895978324,9.294999439542533,71.45472130646468,91.30232264198554,89.52733439079056,28.414942088096478
50,0,1,8.807073701319649,28.10621768922894,26.012703644122862,62.92599503467145,72.62505228237563,33.04907024488154
50,1,1,9.01245738134346,27.72933955460102,54.19621859578392,90.9380155317284,106.26770326369137,58.27355285410704
50,2,1,9.33788717959015,27.87433288920205,50.85449107912443,88.06671114791664,105.6072010439419,83.52172621564785
50,3,1,8.653788171920212,27.53019974187004,48.60599988440848,84.78998779819874,83.23933007601266,30.189930339291415
51,0,1,11.368712079782968,32.643376125234745,46.03735311121288,90.0494413162306,88.80476182373712,23.350012997177373
51,1,1,10.982496397008978,32.496659370249716,40.124603824258344,83.60375959151703,98.59379054388863,42.94386512214405
51,2,1,11.620896511709864,32.52670621579691,42.66737293605961,86.81497566356637,100.78335448611195,65.98123631962255
51,3,1,10.684824968061886,32.48941252879898,46.74452235528092,89.91875985214179,98.04087578202638,31.740588061477467
52,0,1,4.066537533605825,30.449476102805534,90.9157204296138,125.43173406602516,109.87734506678777,24.594692489670855
52,1,1,3.97368472881894,30.58044192559257,59.02764492146978,93.58177157588129,102.37379484523224,27.953834169772456
52,2,1,3.976453502550604,30.597902151777962,79.82930645576823,114.4036621100968,105.38933160433598,52.012857497077015
52,3,1,3.680590252367046,30.245999486321388,72.35152362234871,106.27811336103714,103.16811403748802,23.618472131592856
53,0,1,6.045899971020824,6.487886667532625,101.82807312591132,114.36185976446477,107.4135016908692,40.14908148890823
53,1,1,5.934753482649728,6.599146167076442,122.4663630015636,135.00026265128977,125.84117916488373,19.1618109004215
53,2,1,5.725541549149991,6.562714190270512,104.29482101098668,116.58307675040719,119.10017195684408,61.02718800283786
53,3,1,5.989945314127342,6.511604887407444,104.89894863942526,117.40049884096004,120.12093687479754,26.728471455141936
54,0,1,8.478917508531067,14.696057659017374,102.05223532970477,125.22721049725321,135.4720941082417,47.097439562503816
54,1,1,8.267431225180319,14.884419031150088,112.28106641912208,135.4329166754525,121.44694224982373,28.32089438682756
54,2,1,9.543369744390093,15.060278542300543,126.47554571743584,151.07919400412646,144.52517272500916,58.51009279640098
54,3,1,9.47809166574713,15.03480864924855,108.31348665962231,132.826386974618,126.38213501687453,24.008033421304447
55,0,1,10.36292676896273,10.972833941741333,71.97496079677967,93.31072150748373,95.10860544051758,36.852555951515335
55,1,1,10.094977278441256,10.9189558651466,89.66452761296722,110.67846075655507,105.49478910310732,42.30686881245636
55,2,1,9.910048620679943,10.949242859435826,95.08174676004013,115.9410382401559,116.46842176066612,65.06411407551828
55,3,1,9.38584629601362,11.04537298823162,134.71497775531807,155.1461970395633,113.80082221996547,30.452285379047908
56,0,1,11.004688966052065,41.30734942909643,148.33016669288514,200.64220508803365,160.11228523992608,35.054672018481476
56,1,1,10.71039374589001,41.62241045224597,118.55114830378466,170.88395250192065,160.73900277802653,47.49054046590412
56,2,1,12.839354723194422,41.63773759254626,109.13057094000983,163.6076632557505,161.69347879123018,64.53673055500809
56,3,1,11.831323315316352,41.94460530567352,103.25730544684528,157.03323406783514,166.3719151186986,71.7976601986459
57,0,1,9.401936261729771,51.96297513540653,135.72201490066783,197.08692629780413,229.90597656176243,75.58459186658901
57,1,1,9.181550348527246,52.33685847395735,138.71575630730695,200.23416512979153,211.0878724776636,57.63549018979818
57,2,1,8.643772556737815,52.00541083076327,147.34526776107293,207.994451148574,220.56039538927683,66.45091501952842
57,3,1,9.085547357300763,52.33565773024719,135.88423104007887,197.30543612762682,219.0680583304197,62.458979147782415
58,0,1,7.138195334558985,57.27635081124647,162.97993336155676,227.3944795073622,221.1078137986921,42.76554160263069
58,1,1,6.6531937604302565,57.09428981199296,172.9678109750483,236.71529454747153,225.65304700109198,46.78178284192617
58,2,1,6.954806454025995,57.185857114690144,151.32895656732632,215.46962013604247,209.47413012179226,53.88497077882561
58,3,1,6.971871141106864,57.63140366314265,186.95591283240856,251.55918763665807,235.29413889450925,40.69635694498954
59,0,1,4.265733851923164,45.130856435765764,114.29701682961289,163.6936071173018,176.2021175413439,49.052207311300855
59,1,1,3.9578631646380007,45.152483948945246,117.48010562619068,166.59045273977392,182.11001713209137,57.84403038830574
59,2,1,4.021022283792445,45.14475681001045,113.238663544062,162.4044426378649,173.75876416968137,59.88046079307584
59,3,1,4.4622744076815595,45.132947142461106,116.52873807173964,166.1239596218823,179.86140424556396,56.96140568713833
