day,slot,baseline_method,nodal_signed_linear_usd,nodal_exact_net_value_usd,polyhedral_bregman_gap_usd,subgradient_inequality_violation_usd
67,68,Synthetic Control,883.8078717875876,647.0286627414316,236.77920904615598,0.0
67,68,Feasible Quantile Projection,-0.016372737053219844,-0.01637273705273401,-4.858335955759685e-13,4.858335955759685e-13
67,68,Tail-Risk Feasible Counterfactual,-0.01636807395079186,-0.01636807394970674,-1.0851181064808202e-12,1.0851181064808202e-12
67,68,Single Feasible Projection,-0.016372737053219844,-0.01637273705273401,-4.858335955759685e-13,4.858335955759685e-13
67,68,Risk-Constrained Convex Verifier,-0.016372737053219844,-0.01637273705273401,-4.858335955759685e-13,4.858335955759685e-13
67,68,Trace-Anchored Reference,133.45611382907194,132.11830732711314,1.337806501958795,0.0
67,69,High-5-of-10,2181.949763657018,1207.2556665266784,974.6940971303397,0.0
67,69,Ridge,1778.048824705736,803.3547275753881,974.6940971303479,0.0
67,69,Gradient Boosting,411.2880698249255,411.0626999882443,0.22536983668123867,0.0
67,69,Extra Trees,531.3863272669832,531.1609574303002,0.22536983668305766,0.0
67,69,Metadata Gradient Boosting,329.0193624629246,328.793992626237,0.22536983668760513,0.0
67,69,Ex-post Metadata Gradient Boosting,451.2566298201077,451.0312599834251,0.2253698366826029,0.0
67,69,Ex-post Quantile Gradient Boosting,136.4643700539174,136.2390002172251,0.2253698366922947,0.0
67,69,Synthetic Control,438.9877431912222,438.762373354537,0.2253698366852177,0.0
67,69,Feasible Quantile Projection,-8.286780008537908,-8.28678000853688,-1.028510610012745e-12,1.028510610012745e-12
67,69,Tail-Risk Feasible Counterfactual,-2.33408030467036,-2.3340803046703513,-8.881784197001252e-15,8.881784197001252e-15
67,69,Single Feasible Projection,-0.013946760088906274,-0.013946760089311283,4.050093593832571e-13,0.0
67,69,Risk-Constrained Convex Verifier,-0.013946760088906274,-0.013946760089311283,4.050093593832571e-13,0.0
67,69,Trace-Anchored Reference,106.26648609644354,106.04111625975565,0.22536983668788935,0.0
67,70,High-5-of-10,2269.257073377887,1282.7649488236711,986.4921245542159,0.0
67,70,Ridge,1837.5182400210986,851.0261154668733,986.4921245542253,0.0
