day,baseline_method,gross_to_signed_error_reduction_usd,uniform_to_nodal_error_reduction_usd,linear_to_exact_error_reduction_usd,uniform_gross_to_exact_error_reduction_usd
107,Synthetic Control,432.06601655147347,0.04286868455540116,0.6003071137288316,432.70013330376196
108,Synthetic Control,189.52015300029416,0.058627928158102804,1.317890684764734,190.89485259486787
109,Synthetic Control,1011.2463744986366,0.12948322894840203,2.3883256874684093,1013.7469584189032
110,Synthetic Control,255.52117304782894,0.04832644280554632,1.2316302096579648,256.8035086937491
111,Synthetic Control,490.2450768333201,0.10119099481971716,2.4157565598291058,492.7629255482386
112,Synthetic Control,291.1083954246767,0.1192351988415794,5.399635826272288,296.6376818777585
113,Synthetic Control,982.6698166214824,0.041189506081650507,0.38424480209738476,983.0993121165445
114,Synthetic Control,1560.293555857752,-0.20046623953214748,-20.73308063205957,1539.755233301677
61,Feasible Quantile Projection,-481.81515550361655,0.003556862982918574,-2.8421709430404007e-12,-481.83940792672945
62,Feasible Quantile Projection,1372.516402763399,0.011191259074586773,-9.094947017729282e-12,1372.6056869290962
63,Feasible Quantile Projection,-1129.701063307517,-0.026606695246528034,5.002220859751105e-12,-1129.7689244925912
64,Feasible Quantile Projection,189.22254436268543,-0.01870127687823242,1.261923898709938e-11,189.34333462413952
65,Feasible Quantile Projection,-317.84866094654933,-0.006095617979724466,-2.6830093702301383e-11,-317.8607225895336
66,Feasible Quantile Projection,320.18159976334107,-0.07023441493396376,-13.806226330242453,306.50373109874874
67,Feasible Quantile Projection,-97.50348530191445,-0.00021955736087875266,7.048583938740194e-12,-97.50490340780425
68,Feasible Quantile Projection,303.84019624199703,-0.005975148362921345,-1.0871303857129533e-11,303.8787893144064
69,Feasible Quantile Projection,1015.2705966975868,-0.015113794735867714,3.865352482534945e-12,1015.3682156585535
70,Feasible Quantile Projection,788.2145517450467,-0.005258094059527707,-2.1827872842550278e-11,788.2481139269598
71,Feasible Quantile Projection,-1431.0625942853294,-0.015371590070571983,1.8189894035458565e-11,-1431.1618783286133
72,Feasible Quantile Projection,64.60293783855923,-0.007078207688209659,2.2737367544323206e-11,64.64865549533693
73,Feasible Quantile Projection,289.8438288780692,-0.014273800721525731,2.3419488570652902e-11,289.936022375475
74,Feasible Quantile Projection,-529.7413534129674,-0.013294129393557341,1.1368683772161603e-12,-529.6554875453289
75,Feasible Quantile Projection,1637.8248401808055,0.011469604513166587,13.475960516175277,1651.3780598065928
76,Feasible Quantile Projection,-571.7861344312012,-0.004262460636596188,-1.375610736431554e-11,-571.7586034910531
77,Feasible Quantile Projection,-83.39478588345423,-0.00043887590595659276,-6.139089236967266e-12,-83.3913775291453
78,Feasible Quantile Projection,14.447991203184927,-0.003248104137099972,3.0127011996228248e-12,14.463213057843916
79,Feasible Quantile Projection,1259.5576134501375,-15.810583977929582,27.747939438333105,1311.167568339455
80,Feasible Quantile Projection,-540.7753132236271,-0.015144957573170359,-0.09956876923752134,-540.8033105452303
81,Feasible Quantile Projection,2217.088946199346,0.08646736173636782,4.874458490259258,2222.2273665792395
82,Feasible Quantile Projection,-503.8389211704866,-0.0058885434838202855,1.375610736431554e-11,-503.8008874730117
83,Feasible Quantile Projection,-225.22706331564535,-0.0012720216828938646,-0.11591621139154995,-225.34710077257995
84,Feasible Quantile Projection,-161.30178706165475,-0.001428392219622765,5.343281372915953e-12,-161.30789922454562
85,Feasible Quantile Projection,439.1373418288362,-0.009013477323833285,2.575006874394603e-11,439.19555925912255
86,Feasible Quantile Projection,345.76034713655093,-0.010100795192840906,6.195932655828074e-12,345.8259067031172
87,Feasible Quantile Projection,644.4565465743904,-0.03526155636103567,-1.1880274541908875e-11,644.5669013997879
88,Feasible Quantile Projection,-62.30264404434962,-0.007245747637455224,1.028865881380625e-11,-62.25584425857255
89,Feasible Quantile Projection,-306.8358644849895,-0.002722122363707058,-0.11602077076975092,-306.9651198922166
90,Feasible Quantile Projection,174.36769781111866,0.0003069951281560179,-9.805489753489383e-13,174.37392807468362
91,Feasible Quantile Projection,882.1803029175628,6.815319622822393,3.822351220035266,886.8708188539855
92,Feasible Quantile Projection,-152.0811562035622,-0.0005343810029785345,3.211653165635653e-12,-152.0777046734052
93,Feasible Quantile Projection,-122.29827806173893,-0.00013012127408273955,-9.379164112033322e-12,-122.29911850611046
94,Feasible Quantile Projection,-13.82726957302566,-7.573566938390286e-05,-1.3528733688872308e-11,-13.827758744520224
95,Feasible Quantile Projection,-188.7588403405737,-0.004878837793540924,-0.2854346343597456,-189.03175076970382
96,Feasible Quantile Projection,-46.69419142515608,-0.00018119695153018256,-0.05229734458163193,-46.74691226201708
